Date,RMD_Anorexia Nervosa_NoP,RMD_Antisocial Personality Disorder_NoP,RMD_Autosarcophagy_NoP,RMD_Avoidant Personality Disorder_NoP,RMD_Boanthropy_NoP,RMD_Body Integrity Dysphoria_NoP,RMD_Brief Psychotic Disorder_NoP,RMD_Capgras Syndrome_NoP,RMD_Childhood Disintegrative Disorder_NoP,RMD_Chronic Traumatic Encephalopathy_NoP,RMD_Circadian Rhythm Sleep Wake Disorder_NoP,RMD_Cotard Syndrome_NoP,RMD_Cyclothymic Disorder_NoP,RMD_Delusional Disorder_NoP,RMD_Diogenes Syndrome_NoP,RMD_Disinhibited Social Engagement Disorder_NoP,RMD_Dissociative Amnesia_NoP,RMD_Dissociative Fugue_NoP,RMD_Ekbom Syndrome_NoP,RMD_Erotomania_NoP,RMD_Factitious Disorder_NoP,RMD_Fregoli Delusion_NoP,RMD_Ganser Syndrome_NoP,RMD_Hallucinogen Persisting Perception Disorder_NoP,RMD_Histrionic Personality Disorder_NoP,RMD_Hypergraphia_NoP,RMD_Hyperthymesia_NoP,RMD_Impulse Control Disorders_NoP,RMD_Intermetamorphosis Syndrome_NoP,RMD_Kleine Levin Syndrome_NoP,RMD_Kleptomania_NoP,RMD_Koro_NoP,RMD_Landau Kleffner Syndrome_NoP,RMD_Narcissistic Personality Disorder_NoP,RMD_Olfactory Reference Syndrome_NoP,RMD_Othello Syndrome_NoP,RMD_Palilalia_NoP,RMD_Postpartum Psychosis_NoP,RMD_Pyromania_NoP,RMD_Reactive Attachment Disorder_NoP,RMD_Reduplicative Paramnesia_NoP,RMD_Rumination Disorder_NoP,RMD_Savant Syndrome_NoP,RMD_Schizoaffective Disorder_NoP,RMD_Schizotypal Personality Disorder_NoP,RMD_Selective Mutism_NoP,RMD_Stendhal Syndrome_NoP,RMD_Wendigo Psychosis_NoP
2026-11-01,274.24857,388.9906,1.2528259,35.40958,7.268302,23.83128,2.7621658,17.434921,18.364605,214.06978,2.833291,6.2200704,85.13902,4.15992,4.09151,9.345259,4.7359133,20.828026,30.856846,32.71561,98.8666,2.944062,25.330242,76.18136,42.597378,9.53452,31.125853,123.8262,0.28475258,8.697511,34.562454,3.6380496,6.9621444,114.920135,79.598625,10.484148,4.9998775,15.051981,15.768752,77.56352,2.0858152,46.41537,32.26239,45.493553,88.99951,26.927376,5.0595098,1.6094302
2026-12-01,276.20544,391.6708,1.2583454,35.529713,7.2920713,23.951382,2.773226,17.484789,18.428032,215.32986,2.8457532,6.2386155,85.45641,4.195258,4.104039,9.375015,4.754363,20.86028,31.049492,32.783737,99.19412,2.9561594,25.407803,76.46501,42.78632,9.561031,31.177567,124.60485,0.29368904,8.728208,34.64921,3.652832,6.9837823,115.30218,79.92438,10.529716,5.0147386,15.068552,15.780203,77.813896,2.0904179,46.556385,32.386818,45.61163,89.22587,26.953672,5.0690813,1.6148365
2027-01-01,277.0859,392.77396,1.263292,35.60276,7.3024073,24.011927,2.7802744,17.506393,18.453337,215.81876,2.8532515,6.248367,85.54953,4.223092,4.110241,9.393626,4.7643347,20.85656,31.151134,32.795074,99.2945,2.9650605,25.456516,76.54558,42.906784,9.577554,31.175892,125.107864,0.30242422,8.743213,34.681248,3.6625957,6.9931087,115.38779,80.077774,10.55412,5.02392,15.068717,15.775046,77.88165,2.0919473,46.626236,32.48451,45.660755,89.273926,26.945032,5.07649,1.6197854
2027-02-01,278.27048,394.3129,1.2685361,35.689003,7.3163953,24.089157,2.788426,17.535711,18.489218,216.52188,2.8620813,6.260513,85.70529,4.253361,4.1181746,9.415213,4.776656,20.863453,31.278042,32.822643,99.45901,2.9748847,25.513605,76.68271,43.04613,9.596796,31.18977,125.69021,0.31154445,8.762656,34.72834,3.6737955,7.00594,115.55902,80.27887,10.584635,5.034638,15.073896,15.775212,78.001526,2.0943902,46.71938,32.592636,45.730526,89.37442,26.946724,5.0847216,1.625024
2027-03-01,280.18195,396.90567,1.2747303,35.81199,7.3392696,24.20786,2.7995865,17.583817,18.550398,217.732,2.874516,6.278802,86.00471,4.2907825,4.1304197,9.445354,4.7949076,20.89199,31.469292,32.88567,99.769135,2.9874911,25.593172,76.95,43.239273,9.623822,31.236034,126.50108,0.32185718,8.792936,34.811817,3.6889477,7.0270815,115.9218,80.60048,10.630541,5.049711,15.089988,15.786015,78.24048,2.098874,46.86916,32.73212,45.85164,89.59238,26.97005,5.095502,1.6312149
2027-04-01,282.01297,399.3906,1.2809349,35.93247,7.3610106,24.32208,2.8103297,17.629694,18.608725,218.88846,2.8864253,6.296298,86.289825,4.3275375,4.1420903,9.474502,4.812376,20.919106,31.65216,32.9458,100.06571,2.9997535,25.671404,77.20561,43.4272,9.650003,31.279942,127.29202,0.33234695,8.821809,34.89217,3.703662,7.047261,116.26752,80.90924,10.674857,5.0642686,15.106074,15.797199,78.46955,2.103195,47.017128,32.871387,45.968945,89.801506,26.992607,5.106256,1.637438
2027-05-01,283.65237,401.5988,1.2868316,36.040817,7.380335,24.424994,2.8201096,17.670225,18.660425,219.91377,2.89723,6.3119535,86.53873,4.3619266,4.1525416,9.500812,4.828154,20.94143,31.81729,32.997105,100.324,3.0110593,25.741968,77.42867,43.597237,9.673559,31.316229,128.01382,0.34251773,8.847778,34.9622,3.7171535,7.065284,116.566315,81.18371,10.715062,5.0774097,15.119665,15.806139,78.66856,2.1070602,47.150955,33.000896,46.072235,89.98051,27.009993,5.1161723,1.6433526
2027-06-01,285.5206,404.13144,1.293145,36.1606,7.402323,24.540766,2.8307908,17.716444,18.720057,221.09918,2.9091067,6.329491,86.83472,4.39833,4.164314,9.529728,4.845774,20.971773,32.003437,33.06057,100.629814,3.0232563,25.818897,77.69386,43.783737,9.699725,31.36449,128.82097,0.353237,8.877412,35.043915,3.7318697,7.0860457,116.93227,81.498344,10.760584,5.0919557,15.137666,15.819863,78.907845,2.111629,47.31047,33.145653,46.197563,90.203064,27.036127,5.1273756,1.6497433
2027-07-01,286.95477,406.04254,1.2992218,36.263268,7.4189167,24.632135,2.839624,17.751554,18.765112,221.98447,2.9187384,6.343347,87.04998,4.4304237,4.1734934,9.553886,4.859812,20.991474,32.151333,33.105396,100.85464,3.033887,25.885548,77.88613,43.941856,9.721979,31.396652,129.5212,0.36376378,8.9007435,35.106335,3.7443066,7.1021276,117.20135,81.74714,10.797634,5.104123,15.151953,15.830883,79.085724,2.1151502,47.452095,33.284897,46.303944,90.37315,27.054302,5.138269,1.6560146
2027-08-01,288.1292,407.58032,1.3047004,36.3491,7.432373,24.708181,2.847167,17.7796,18.801367,222.69296,2.9269474,6.3547916,87.21726,4.4587493,4.1810985,9.574201,4.8716483,21.00486,32.27545,33.13858,101.027725,3.0431442,25.941301,78.03501,44.07502,9.74068,31.41898,130.12192,0.3733754,8.920182,35.15512,3.75498,7.1153426,117.40859,81.94953,10.828855,5.1143794,15.162937,15.838877,79.22352,2.1180353,47.57301,33.40798,46.391796,90.504005,27.06603,5.147838,1.66165
