Model,RSE,RAE,sMAPE,Corr
BMTGNN,5.9315,6.9052,,0.0
BR-MTGNN,0.428406,0.250509,,0.912998
LSTM_M,2.6753,1.8674,,0.1805
LSTM_U,2.2522,1.2349,,0.2444
MTGNN,5.6867,6.5561,,0.0
Transformer_M,3.9313,2.7456,,0.0819
Transformer_U,1.8306,1.2718,,0.0198
DCRNN,0.4305,0.2548,,0.0
AGCRN,0.9346,0.5173,,0.1199
PatchTST,0.6743,0.355,,0.1449
TFT,0.642,0.3563,,0.1901
TimesFM,1.4051,0.7154,,0.102
Prophet,7.7073,4.0637,,0.0
