Date,RMD_Anorexia Nervosa_NoM,RMD_Antisocial Personality Disorder_NoM,RMD_Autosarcophagy_NoM,RMD_Avoidant Personality Disorder_NoM,RMD_Boanthropy_NoM,RMD_Body Integrity Dysphoria_NoM,RMD_Brief Psychotic Disorder_NoM,RMD_Capgras Syndrome_NoM,RMD_Childhood Disintegrative Disorder_NoM,RMD_Chronic Traumatic Encephalopathy_NoM,RMD_Circadian Rhythm Sleep Wake Disorder_NoM,RMD_Cotard Syndrome_NoM,RMD_Cyclothymic Disorder_NoM,RMD_Delusional Disorder_NoM,RMD_Diogenes Syndrome_NoM,RMD_Disinhibited Social Engagement Disorder_NoM,RMD_Dissociative Amnesia_NoM,RMD_Dissociative Fugue_NoM,RMD_Ekbom Syndrome_NoM,RMD_Erotomania_NoM,RMD_Factitious Disorder_NoM,RMD_Fregoli Delusion_NoM,RMD_Ganser Syndrome_NoM,RMD_Hallucinogen Persisting Perception Disorder_NoM,RMD_Histrionic Personality Disorder_NoM,RMD_Hypergraphia_NoM,RMD_Hyperthymesia_NoM,RMD_Impulse Control Disorders_NoM,RMD_Intermetamorphosis Syndrome_NoM,RMD_Kleine Levin Syndrome_NoM,RMD_Kleptomania_NoM,RMD_Koro_NoM,RMD_Landau Kleffner Syndrome_NoM,RMD_Narcissistic Personality Disorder_NoM,RMD_Olfactory Reference Syndrome_NoM,RMD_Othello Syndrome_NoM,RMD_Palilalia_NoM,RMD_Postpartum Psychosis_NoM,RMD_Pyromania_NoM,RMD_Reactive Attachment Disorder_NoM,RMD_Reduplicative Paramnesia_NoM,RMD_Rumination Disorder_NoM,RMD_Savant Syndrome_NoM,RMD_Schizoaffective Disorder_NoM,RMD_Schizotypal Personality Disorder_NoM,RMD_Selective Mutism_NoM,RMD_Stendhal Syndrome_NoM,RMD_Wendigo Psychosis_NoM
2026-11-01,229.15369,838.3055,0.0,0.0,14.278456,132.47777,0.0,0.0,82.73751,605.0856,0.0,0.0,201.70163,47.024555,3.4214668,0.0,17.150412,0.0,33.173843,14.234074,105.83287,0.0,0.0,83.93109,0.0,0.0,46.062077,137.9059,0.0,29.11367,2.4363022,0.0,22.22995,442.8878,45.217644,10.076641,0.0,34.41564,18.306816,538.90454,0.0,121.89307,1.6406193,40.76239,172.17538,39.173203,0.0,0.0
2026-12-01,230.90698,827.14307,0.0,0.0,15.682964,131.63371,0.0,0.0,78.46246,602.193,0.0,0.0,190.52565,57.493507,5.582823,0.0,20.107067,0.0,39.269882,12.417297,98.87514,0.0,0.0,81.521164,0.0,0.0,40.987907,135.12099,0.0,33.64111,3.2075024,0.0,27.001913,431.74982,42.58615,8.84963,0.0,33.266945,14.267349,531.11285,0.0,119.86058,0.6385002,39.97083,164.6565,38.635357,0.0,0.0
2027-01-01,232.987,811.2683,0.0,0.0,17.015242,128.82149,0.0,0.0,72.552826,595.6786,0.0,0.0,178.02913,70.56831,8.26585,0.0,23.464754,0.0,48.115883,10.467567,91.66909,0.0,0.0,79.103424,0.42284966,0.0,35.81186,131.84602,0.0,38.731667,4.042864,0.0,33.287895,417.4226,39.976654,7.278303,0.0,31.079607,9.848885,519.1019,0.0,116.99268,0.0,39.324013,156.5228,37.90133,0.0,0.0
2027-02-01,235.74213,795.33636,0.0,0.0,18.386524,126.01125,0.0,0.0,66.92114,589.10315,0.0,0.0,166.44186,85.53296,11.145702,0.0,27.006481,0.0,58.325,8.665348,85.14051,0.0,0.0,77.002426,1.0506668,0.0,31.197594,128.88467,0.0,44.066322,4.9020004,0.0,40.42578,403.74335,37.6009,5.7623177,0.0,28.89097,5.8801785,506.98315,0.0,114.49068,0.0,38.794792,149.25752,37.216618,0.0,0.0
2027-03-01,239.0103,783.69275,0.0,0.0,19.621897,123.49005,0.0,0.0,62.28305,584.46326,0.0,0.0,157.0637,100.893135,13.962486,0.0,30.34712,0.0,68.81348,7.1632366,79.715645,0.0,0.0,75.4892,1.6500797,0.0,27.485943,126.48043,0.0,49.02392,5.7270107,0.0,47.591522,392.854,35.60353,4.490631,0.0,26.985405,2.7459621,497.40485,0.0,112.62973,0.0,38.43215,143.53897,36.663044,0.0,0.0
2027-04-01,242.58865,773.8578,0.0,0.0,20.860775,121.75029,0.0,0.0,58.432533,580.80475,0.0,0.0,148.66025,117.47014,16.810947,0.0,33.65658,0.0,79.633736,5.789961,74.93242,0.0,0.0,74.14753,2.2986717,0.0,24.227722,124.488014,0.0,53.950363,6.5887527,0.0,55.101147,383.45325,33.84142,3.3494377,0.0,25.486738,0.11785126,489.2397,0.0,111.51243,0.0,38.156334,138.75723,36.25362,0.0,0.0
2027-05-01,247.1623,768.28064,0.0,0.0,22.238985,121.1346,0.0,0.0,55.221592,580.3242,0.0,0.0,141.08073,136.18011,19.775547,0.0,37.146942,0.0,91.120834,4.549141,70.78868,0.0,0.0,73.07689,3.0732765,0.0,21.302555,123.0626,0.0,59.13102,7.5394764,0.0,63.403347,376.04498,32.281723,2.3414364,0.0,24.428474,0.0,483.17252,0.0,111.460045,0.0,37.981052,134.94183,36.092766,0.0,0.0
2027-06-01,251.89764,766.35376,0.0,0.0,23.65593,121.51205,0.0,0.0,52.734665,582.4309,0.0,0.0,134.67566,155.55515,22.584587,0.0,40.64173,0.0,102.17317,3.4789104,67.32072,0.0,0.0,72.25728,3.8428898,0.0,18.80878,122.097275,0.0,64.19386,8.475182,0.0,71.75429,370.72888,30.944328,1.460125,0.0,23.798569,0.0,479.8241,0.0,112.1428,0.0,37.83348,132.03198,36.159424,0.0,0.0
2027-07-01,256.69714,765.3075,0.0,0.0,25.048008,122.82323,0.0,0.15992737,51.05116,584.0835,0.0,0.0,129.04112,175.23282,25.217823,0.0,44.11647,0.0,112.466965,2.5477715,64.48942,0.0,0.0,71.57696,4.6741047,0.0,16.740585,121.73127,0.0,69.15547,9.463058,0.0,79.60857,366.46167,29.914764,0.7537155,0.0,23.581284,0.0,477.48203,0.0,113.26137,0.0,37.87473,129.80928,36.253548,0.0,0.0
2027-08-01,261.8033,765.84094,0.0,0.0,26.491055,124.91662,0.0,0.93257713,49.923996,586.27185,0.0,0.0,123.83358,195.7728,27.794827,0.0,47.682487,0.0,122.14769,1.7028446,62.017887,0.0,0.0,70.97685,5.5864887,0.0,14.933777,121.84497,0.0,74.228165,10.538916,0.0,87.206116,363.0056,29.094486,0.15910721,0.0,23.695038,0.0,476.50693,0.0,114.827614,0.0,38.035774,128.03348,36.387726,0.0,0.0
