rmd_name,pt_name,rank,rank_by,forecast_mean_raw,normalization_denominator
RMD_Capgras Syndrome,PT_Metaverse,1,coupling,2.6694403671080096,1.0
RMD_Capgras Syndrome,PT_Mood Stabilizers,2,coupling,84.89563124051453,1.0
RMD_Capgras Syndrome,PT_Transcranial Magnetic Stimulation,3,coupling,243.85038205762487,1.0
RMD_Capgras Syndrome,PT_Cognitive Behavioral Therapy,4,coupling,230.54333726877212,1.0
RMD_Capgras Syndrome,PT_Antidepressants,5,coupling,185.83049642213004,1.0
RMD_Capgras Syndrome,PT_Mindfulness Based Stress Reduction,6,coupling,61.36026192717899,1.0
RMD_Capgras Syndrome,PT_Selective Serotonin Reuptake Inhibitors,7,coupling,89.37098099365218,1.0
RMD_Capgras Syndrome,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Childhood Disintegrative Disorder,PT_Mood Stabilizers,1,coupling,84.89563124051453,1.0
RMD_Childhood Disintegrative Disorder,PT_Narrative Exposure Therapy,2,coupling,41.83577893306703,1.0
RMD_Childhood Disintegrative Disorder,PT_Transcranial Magnetic Stimulation,3,coupling,243.85038205762487,1.0
RMD_Childhood Disintegrative Disorder,PT_Emdr Therapy,4,coupling,31.603444893884973,1.0
RMD_Childhood Disintegrative Disorder,PT_Cognitive Behavioral Therapy,5,coupling,230.54333726877212,1.0
RMD_Childhood Disintegrative Disorder,PT_Mindfulness Based Stress Reduction,6,coupling,61.36026192717899,1.0
RMD_Childhood Disintegrative Disorder,PT_Metaverse,7,coupling,2.6694403671080096,1.0
RMD_Childhood Disintegrative Disorder,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Chronic Traumatic Encephalopathy,PT_Chronic Traumatic Encephalopathy,1,coupling,29.440115799896187,1.0
RMD_Chronic Traumatic Encephalopathy,PT_Neuroprotective Agents,2,coupling,41.7172712620327,1.0
RMD_Chronic Traumatic Encephalopathy,PT_Motivational Interviewing,3,coupling,51.08942155846028,1.0
RMD_Chronic Traumatic Encephalopathy,PT_Dialectical Behavior Therapy,4,coupling,45.32434091302976,1.0
RMD_Chronic Traumatic Encephalopathy,PT_Emdr Therapy,5,coupling,31.603444893884973,1.0
RMD_Chronic Traumatic Encephalopathy,PT_Transcranial Magnetic Stimulation,6,coupling,243.85038205762487,1.0
RMD_Chronic Traumatic Encephalopathy,PT_Cognitive Behavioral Therapy,7,coupling,230.54333726877212,1.0
RMD_Chronic Traumatic Encephalopathy,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Circadian Rhythm Sleep Wake Disorder,PT_Neurobiological Assessments For Mental Disorders,1,coupling,1.0412538205555348,1.0
RMD_Circadian Rhythm Sleep Wake Disorder,PT_Expressive Writing And Journaling,2,coupling,1.7196466847053402,1.0
RMD_Circadian Rhythm Sleep Wake Disorder,PT_Interpersonal Psychotherapy,3,coupling,14.501139380206732,1.0
RMD_Circadian Rhythm Sleep Wake Disorder,PT_Speech Language Therapy,4,coupling,3.8033477368263098,1.0
RMD_Circadian Rhythm Sleep Wake Disorder,PT_Regenerative Medicine Approaches,5,coupling,61.58910373586852,1.0
RMD_Circadian Rhythm Sleep Wake Disorder,PT_Lithium Therapy,6,coupling,0.23151593235861817,1.0
RMD_Circadian Rhythm Sleep Wake Disorder,PT_Neurofeedback Systems,7,coupling,0.3728284600469902,1.0
RMD_Circadian Rhythm Sleep Wake Disorder,PT_Reality Testing Techniques,8,coupling,0.07435315228521899,1.0
RMD_Cotard Syndrome,PT_Motivational Interviewing,1,coupling,51.08942155846028,1.0
RMD_Cotard Syndrome,PT_Mood Stabilizers,2,coupling,84.89563124051453,1.0
RMD_Cotard Syndrome,PT_Transcranial Magnetic Stimulation,3,coupling,243.85038205762487,1.0
RMD_Cotard Syndrome,PT_Antidepressants,4,coupling,185.83049642213004,1.0
RMD_Cotard Syndrome,PT_Cognitive Behavioral Therapy,5,coupling,230.54333726877212,1.0
RMD_Cotard Syndrome,PT_Selective Serotonin Reuptake Inhibitors,6,coupling,89.37098099365218,1.0
RMD_Cotard Syndrome,PT_Metaverse,7,coupling,2.6694403671080096,1.0
RMD_Cotard Syndrome,PT_Digital Health Tools,8,coupling,9.618268563052428,1.0
RMD_Cyclothymic Disorder,PT_Motivational Interviewing,1,coupling,51.08942155846028,1.0
RMD_Cyclothymic Disorder,PT_Stimulant And Wake Promoting Agents,2,coupling,25.02093435276346,1.0
RMD_Cyclothymic Disorder,PT_Emdr Therapy,3,coupling,31.603444893884973,1.0
RMD_Cyclothymic Disorder,PT_Metaverse,4,coupling,2.6694403671080096,1.0
RMD_Cyclothymic Disorder,PT_Cognitive Behavioral Therapy,5,coupling,230.54333726877212,1.0
RMD_Cyclothymic Disorder,PT_Transcranial Magnetic Stimulation,6,coupling,243.85038205762487,1.0
RMD_Cyclothymic Disorder,PT_Selective Serotonin Reuptake Inhibitors,7,coupling,89.37098099365218,1.0
RMD_Cyclothymic Disorder,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Delusional Disorder,PT_Anxiolytic Medications,1,coupling,109.31999976192185,1.0
RMD_Delusional Disorder,PT_Meditation And Relaxation Techniques,2,coupling,5.885019521864253,1.0
RMD_Delusional Disorder,PT_Neuroplasticity Techniques,3,coupling,1.5653282212362258,1.0
RMD_Delusional Disorder,PT_Expressive Writing And Journaling,4,coupling,1.7196466847053402,1.0
RMD_Delusional Disorder,PT_Regenerative Medicine Approaches,5,coupling,61.58910373586852,1.0
RMD_Delusional Disorder,PT_Digital Imaging Technologies For Brain Scanning,6,coupling,1.4579320275786976,1.0
RMD_Delusional Disorder,PT_Voxel Based Lesion Symptom Mapping,7,coupling,4.42812138366688,1.0
RMD_Delusional Disorder,PT_Vocal And Speech Biomarkers,8,coupling,0.27303934603075597,1.0
RMD_Diogenes Syndrome,PT_Anticonvulsant Therapy,1,coupling,3.703285773977937,1.0
RMD_Diogenes Syndrome,PT_Narrative Exposure Therapy,2,coupling,41.83577893306703,1.0
RMD_Diogenes Syndrome,PT_Antipsychotic Medications,3,coupling,52.92023223127243,1.0
RMD_Diogenes Syndrome,PT_Transference Focused Psychotherapy,4,coupling,9.78525111494212,1.0
RMD_Diogenes Syndrome,PT_Clozapine Protocol,5,coupling,5.845164703589676,1.0
RMD_Diogenes Syndrome,PT_Metaverse,6,coupling,2.6694403671080096,1.0
RMD_Diogenes Syndrome,PT_Mindfulness Based Stress Reduction,7,coupling,61.36026192717899,1.0
RMD_Diogenes Syndrome,PT_Personalized Medicine,8,coupling,131.77664660794946,1.0
RMD_Disinhibited Social Engagement Disorder,PT_Narrative Exposure Therapy,1,coupling,41.83577893306703,1.0
RMD_Disinhibited Social Engagement Disorder,PT_Naltrexone,2,coupling,14.856798968418369,1.0
RMD_Disinhibited Social Engagement Disorder,PT_Transference Focused Psychotherapy,3,coupling,9.78525111494212,1.0
RMD_Disinhibited Social Engagement Disorder,PT_Music Therapy,4,coupling,9.486083339192765,1.0
RMD_Disinhibited Social Engagement Disorder,PT_Electroconvulsive Therapy,5,coupling,20.87111237528387,1.0
RMD_Disinhibited Social Engagement Disorder,PT_Art Therapy,6,coupling,5.905425901174663,1.0
RMD_Disinhibited Social Engagement Disorder,PT_Anticonvulsant Therapy,7,coupling,3.703285773977937,1.0
