Date,RMD_Anorexia Nervosa_NoM,RMD_Antisocial Personality Disorder_NoM,RMD_Autosarcophagy_NoM,RMD_Avoidant Personality Disorder_NoM,RMD_Boanthropy_NoM,RMD_Body Integrity Dysphoria_NoM,RMD_Brief Psychotic Disorder_NoM,RMD_Capgras Syndrome_NoM,RMD_Childhood Disintegrative Disorder_NoM,RMD_Chronic Traumatic Encephalopathy_NoM,RMD_Circadian Rhythm Sleep Wake Disorder_NoM,RMD_Cotard Syndrome_NoM,RMD_Cyclothymic Disorder_NoM,RMD_Delusional Disorder_NoM,RMD_Diogenes Syndrome_NoM,RMD_Disinhibited Social Engagement Disorder_NoM,RMD_Dissociative Amnesia_NoM,RMD_Dissociative Fugue_NoM,RMD_Ekbom Syndrome_NoM,RMD_Erotomania_NoM,RMD_Factitious Disorder_NoM,RMD_Fregoli Delusion_NoM,RMD_Ganser Syndrome_NoM,RMD_Hallucinogen Persisting Perception Disorder_NoM,RMD_Histrionic Personality Disorder_NoM,RMD_Hypergraphia_NoM,RMD_Hyperthymesia_NoM,RMD_Impulse Control Disorders_NoM,RMD_Intermetamorphosis Syndrome_NoM,RMD_Kleine Levin Syndrome_NoM,RMD_Kleptomania_NoM,RMD_Koro_NoM,RMD_Landau Kleffner Syndrome_NoM,RMD_Narcissistic Personality Disorder_NoM,RMD_Olfactory Reference Syndrome_NoM,RMD_Othello Syndrome_NoM,RMD_Palilalia_NoM,RMD_Postpartum Psychosis_NoM,RMD_Pyromania_NoM,RMD_Reactive Attachment Disorder_NoM,RMD_Reduplicative Paramnesia_NoM,RMD_Rumination Disorder_NoM,RMD_Savant Syndrome_NoM,RMD_Schizoaffective Disorder_NoM,RMD_Schizotypal Personality Disorder_NoM,RMD_Selective Mutism_NoM,RMD_Stendhal Syndrome_NoM,RMD_Wendigo Psychosis_NoM
2026-11-01,12.233041,2.9446917,0.021743529,0.3632361,0.046611913,0.82692355,0.048630174,0.30796006,0.56065464,6.5554843,0.05820836,0.08014926,3.0177846,0.067549646,0.08610601,0.07100208,0.105887406,0.3186936,1.9232569,0.509225,2.7170913,0.035170853,0.22732483,1.6647792,0.31424004,0.06250056,0.49429852,2.3496308,0.03228823,0.23086827,0.54770696,0.052500483,0.17976488,5.7713156,1.2903332,0.48868567,0.027072906,0.25758666,0.21250908,2.62544,0.034264285,1.869803,0.26097596,1.2513249,2.7549653,0.38597694,0.03179785,0.01827355
2026-12-01,12.138197,2.9924471,0.021963466,0.3648872,0.046835817,0.82273966,0.048409402,0.30666402,0.557391,6.507474,0.057911243,0.079942204,2.9971483,0.06830234,0.08560594,0.07119264,0.10539407,0.3170778,1.9149355,0.50706375,2.7068758,0.03531821,0.22796026,1.6559762,0.31566936,0.0626366,0.4922207,2.3613343,0.03281431,0.22915038,0.5448741,0.052470084,0.17883433,5.7360353,1.286022,0.4849873,0.02719096,0.2563293,0.21160501,2.6073608,0.034297515,1.8592498,0.2616478,1.2444555,2.736779,0.38427177,0.031849876,0.018361088
2027-01-01,12.019546,3.0494752,0.022206206,0.36685482,0.04708189,0.8177725,0.048118297,0.3050246,0.55372643,6.447971,0.057545282,0.07969924,2.9724572,0.06916877,0.08500132,0.07143143,0.10478573,0.31531966,1.9039207,0.504492,2.6926084,0.035479657,0.22869307,1.6459899,0.3172623,0.062742084,0.4897069,2.3741808,0.033423975,0.22710817,0.5414349,0.0524267,0.17765011,5.693391,1.2806758,0.48049286,0.027326047,0.25485674,0.2106076,2.585571,0.034330472,1.8460361,0.26238668,1.2360063,2.7138197,0.3822914,0.03188074,0.018453438
2027-02-01,11.879257,3.1075015,0.022426527,0.3688959,0.047301706,0.8116813,0.047787033,0.30312452,0.54923564,6.3771477,0.057148367,0.07942859,2.9426064,0.06999846,0.0843056,0.071639426,0.10406695,0.31306297,1.8894527,0.5013715,2.6743028,0.035612304,0.22943674,1.6333892,0.31873813,0.06283074,0.48664904,2.3871148,0.033996895,0.22481968,0.53752464,0.052379884,0.17616951,5.6396685,1.2749702,0.47524562,0.02744017,0.2531302,0.20938915,2.56004,0.034307085,1.8308378,0.2631117,1.2263814,2.6867015,0.37989098,0.031888884,0.018524455
2027-03-01,11.819467,3.1651902,0.022666378,0.3711598,0.047590524,0.8094626,0.047622845,0.30211037,0.5472236,6.348459,0.05693498,0.07939424,2.9297588,0.0708753,0.08392776,0.07196525,0.10375533,0.3120762,1.8862875,0.5000467,2.668708,0.035819206,0.23044577,1.6288477,0.32064372,0.063087046,0.48544744,2.4077783,0.034588043,0.22359635,0.53538615,0.052469946,0.1755088,5.6213374,1.2743164,0.47258133,0.027569452,0.25229332,0.2088906,2.548011,0.03439137,1.8243495,0.26415414,1.2222284,2.6729352,0.37888741,0.031945746,0.018624905
2027-04-01,11.815365,3.2261796,0.022910912,0.37384313,0.047930997,0.80995923,0.04753628,0.30168626,0.5469786,6.3473706,0.05683272,0.07949826,2.9274836,0.07179177,0.083767265,0.072397225,0.10370595,0.3118785,1.8903168,0.499945,2.6712492,0.036063515,0.23179092,1.6293486,0.32289776,0.063400164,0.48543918,2.4326844,0.035210244,0.22304234,0.53442603,0.05261541,0.17536847,5.6249604,1.2763804,0.4715423,0.027728388,0.25206903,0.20889024,2.545049,0.03454921,1.822934,0.26539475,1.2211922,2.6680145,0.37879744,0.032018226,0.018739305
2027-05-01,11.873691,3.2932813,0.023185302,0.37715876,0.04834951,0.81362295,0.047572806,0.30205628,0.5488222,6.377923,0.056889255,0.079808764,2.9379346,0.0728275,0.08383427,0.072945476,0.10395786,0.31266093,1.9032264,0.5012676,2.6828372,0.036374625,0.23359238,1.6361742,0.32573175,0.0638326,0.48690856,2.465467,0.035876617,0.2232594,0.53496194,0.052895132,0.17581637,5.6560674,1.2829361,0.4724497,0.027933037,0.25251353,0.20945656,2.552662,0.03477783,1.8286659,0.26715332,1.2244948,2.6736476,0.37982318,0.03215255,0.018884514
2027-06-01,11.883206,3.3504672,0.023408372,0.37942415,0.048670862,0.8147054,0.047524866,0.30166546,0.5489786,6.3848367,0.056813966,0.07992912,2.9392896,0.07368351,0.08372466,0.07334556,0.10396357,0.31270966,1.9096438,0.50137454,2.6873,0.03661756,0.23487224,1.6375784,0.32792395,0.064162426,0.48725766,2.4913323,0.036466684,0.22294495,0.5341605,0.053041793,0.17580503,5.6668973,1.285876,0.47198787,0.028077748,0.25240207,0.20952184,2.5520792,0.034922488,1.8291993,0.26843223,1.2247059,2.671884,0.3799305,0.032233678,0.019002995
2027-07-01,11.8767605,3.4062152,0.023611685,0.3814677,0.048959553,0.81517494,0.04746154,0.30120817,0.5487382,6.383228,0.056734227,0.08002475,2.9374652,0.07448722,0.08355715,0.07369474,0.10389745,0.31258315,1.9139482,0.5012399,2.6890635,0.036828365,0.23603146,1.6375293,0.32982862,0.06440961,0.48725423,2.5141056,0.037018407,0.22244827,0.53325284,0.053174,0.17563994,5.6712613,1.2882819,0.47117713,0.028213112,0.25215688,0.20947306,2.5489795,0.035041902,1.8285707,0.26968968,1.2242327,2.6681113,0.379802,0.03230285,0.019104155
2027-08-01,11.942808,3.4706035,0.023856902,0.38419327,0.04934052,0.819517,0.047545385,0.30170164,0.55097693,6.420884,0.056831047,0.08034195,2.9509304,0.075443596,0.08367274,0.074186735,0.10422814,0.31376484,1.928577,0.5028056,2.7023935,0.037115317,0.23761962,1.645834,0.33243603,0.06479233,0.48921117,2.54476,0.037633736,0.22280338,0.5341564,0.053452883,0.17622252,5.7069836,1.295699,0.47267094,0.028402083,0.25269154,0.21012062,2.5583525,0.03528456,1.8362039,0.2715122,1.2286729,2.6761506,0.3810098,0.032442044,0.019241175
