Date,RMD_Anorexia Nervosa_NoP,RMD_Antisocial Personality Disorder_NoP,RMD_Autosarcophagy_NoP,RMD_Avoidant Personality Disorder_NoP,RMD_Boanthropy_NoP,RMD_Body Integrity Dysphoria_NoP,RMD_Brief Psychotic Disorder_NoP,RMD_Capgras Syndrome_NoP,RMD_Childhood Disintegrative Disorder_NoP,RMD_Chronic Traumatic Encephalopathy_NoP,RMD_Circadian Rhythm Sleep Wake Disorder_NoP,RMD_Cotard Syndrome_NoP,RMD_Cyclothymic Disorder_NoP,RMD_Delusional Disorder_NoP,RMD_Diogenes Syndrome_NoP,RMD_Disinhibited Social Engagement Disorder_NoP,RMD_Dissociative Amnesia_NoP,RMD_Dissociative Fugue_NoP,RMD_Ekbom Syndrome_NoP,RMD_Erotomania_NoP,RMD_Factitious Disorder_NoP,RMD_Fregoli Delusion_NoP,RMD_Ganser Syndrome_NoP,RMD_Hallucinogen Persisting Perception Disorder_NoP,RMD_Histrionic Personality Disorder_NoP,RMD_Hypergraphia_NoP,RMD_Hyperthymesia_NoP,RMD_Impulse Control Disorders_NoP,RMD_Intermetamorphosis Syndrome_NoP,RMD_Kleine Levin Syndrome_NoP,RMD_Kleptomania_NoP,RMD_Koro_NoP,RMD_Landau Kleffner Syndrome_NoP,RMD_Narcissistic Personality Disorder_NoP,RMD_Olfactory Reference Syndrome_NoP,RMD_Othello Syndrome_NoP,RMD_Palilalia_NoP,RMD_Postpartum Psychosis_NoP,RMD_Pyromania_NoP,RMD_Reactive Attachment Disorder_NoP,RMD_Reduplicative Paramnesia_NoP,RMD_Rumination Disorder_NoP,RMD_Savant Syndrome_NoP,RMD_Schizoaffective Disorder_NoP,RMD_Schizotypal Personality Disorder_NoP,RMD_Selective Mutism_NoP,RMD_Stendhal Syndrome_NoP,RMD_Wendigo Psychosis_NoP
2026-11-01,328.08597,62.188507,0.93031657,19.611933,2.6464233,27.679642,2.2899885,14.174656,23.966202,257.05457,2.6194644,4.9013686,108.00557,1.5817659,4.4745564,5.3859797,5.1523323,25.976103,42.343,31.626976,99.44236,1.9054358,14.943961,86.17417,19.216667,5.6967854,35.1673,77.65915,0.06954634,10.445691,30.94665,2.8163917,10.335606,203.25284,60.36201,17.158339,2.5965796,18.173878,20.09835,108.5696,3.2466946,71.44203,18.172247,53.76899,118.00704,33.028866,3.742404,1.2341435
2026-12-01,327.40073,62.91588,0.9363103,19.685165,2.6581185,27.66675,2.2974212,14.184064,23.942032,256.08908,2.6244552,4.9068193,107.740524,1.6017627,4.4725423,5.403055,5.154244,25.895378,42.4477,31.551878,99.31821,1.9143083,14.979319,85.86708,19.263437,5.7056427,35.06341,78.02544,0.07890978,10.442663,30.932487,2.8221636,10.312409,202.42084,60.38559,17.130991,2.6001809,18.126982,20.037426,108.056786,3.2371805,71.31554,18.173145,53.696617,117.49414,32.914387,3.7413647,1.2363815
2027-01-01,326.42056,63.789238,0.94360644,19.770044,2.6725812,27.638762,2.3059027,14.193242,23.905632,254.82979,2.6297565,4.9125066,107.38985,1.6260511,4.469082,5.4235225,5.154948,25.794477,42.554577,31.457354,99.140305,1.9249372,15.017749,85.47677,19.318907,5.7166185,34.933666,78.44105,0.09052654,10.436097,30.906372,2.828513,10.281727,201.34091,60.396793,17.090723,2.604876,18.065895,19.959436,107.40676,3.225142,71.12917,18.179523,53.594757,116.84437,32.771473,3.7406929,1.2392651
2027-02-01,325.0619,64.65835,0.95082146,19.856705,2.6871,27.590132,2.3136191,14.199752,23.85231,253.31767,2.6337965,4.917567,106.95348,1.6497331,4.463552,5.444345,5.1527247,25.682766,42.615265,31.355505,98.91233,1.9352403,15.057235,85.03213,19.3788,5.728668,34.7922,78.84677,0.101854876,10.423793,30.8747,2.8344886,10.244372,200.09947,60.40354,17.037197,2.6102011,18.002773,19.879847,106.70794,3.2115068,70.92743,18.196388,53.4918,116.17027,32.624664,3.7414737,1.2424489
2027-03-01,325.17184,65.46588,0.957404,19.938726,2.7001045,27.62135,2.3233461,14.222561,23.862532,252.91289,2.6416552,4.927332,106.87141,1.671716,4.4659185,5.4638433,5.1603103,25.632994,42.81196,31.314661,98.92532,1.9453205,15.096363,84.865974,19.436115,5.7401,34.72841,79.34229,0.11237546,10.4341,30.889788,2.8430839,10.234647,199.6841,60.516212,17.037193,2.615046,17.971918,19.837477,106.3899,3.2056143,70.92644,18.212158,53.506367,115.85818,32.545486,3.7423544,1.2453972
2027-04-01,326.19736,66.30379,0.96430933,20.023432,2.7137072,27.701387,2.3346694,14.256212,23.91258,253.18407,2.6520948,4.94002,107.011345,1.6948655,4.4731007,5.484135,5.1741114,25.620512,43.101723,31.309807,99.08953,1.9561003,15.136687,84.86751,19.496235,5.7523165,34.711433,79.911,0.12374155,10.458233,30.931513,2.8534112,10.241544,199.75644,60.689762,17.068941,2.6202962,17.958797,19.815294,106.28663,3.2043028,71.03003,18.233099,53.582787,115.74519,32.50487,3.743792,1.2486278
2027-05-01,328.5086,67.16632,0.97121704,20.112452,2.727382,27.852745,2.3484504,14.306792,24.01824,254.37967,2.6664398,4.957618,107.45055,1.7184108,4.487238,5.505386,5.1969466,25.659042,43.527637,31.356314,99.46584,1.9675177,15.179734,85.0997,19.56042,5.7655334,34.758602,80.59529,0.1352305,10.5028715,31.015676,2.866548,10.2715225,200.51367,60.96673,17.146431,2.6257038,17.972862,19.823843,106.49575,3.2093666,71.3096,18.255112,53.76418,115.936485,32.52039,3.7454596,1.2518615
2027-06-01,329.86566,67.99823,0.9781968,20.19896,2.7410755,27.951256,2.3600373,14.343305,24.082094,254.9145,2.6774564,4.971518,107.66863,1.7414622,4.496164,5.52573,5.2127285,25.663332,43.840645,31.368347,99.682526,1.9783286,15.223697,85.17172,19.625185,5.7786894,34.76241,81.20981,0.14699772,10.53173,31.069988,2.8776407,10.285022,200.7951,61.1724,17.191113,2.6315331,17.970938,19.81496,106.50509,3.2101953,71.47574,18.286232,53.877213,115.93641,32.502094,3.748186,1.2554446
2027-07-01,330.88235,68.811,0.98512214,20.282108,2.7545896,28.030886,2.3707051,14.374378,24.131226,255.20773,2.6873224,4.9836283,107.80692,1.7641575,4.5032344,5.5453615,5.226163,25.654707,44.119286,31.366777,99.83995,1.9885904,15.2661295,85.18442,19.688023,5.791424,34.74957,81.76947,0.15889826,10.554968,31.111357,2.8875382,10.292715,200.89914,61.340244,17.224018,2.6373615,17.96218,19.798962,106.43631,3.2095308,71.590904,18.317953,53.955215,115.85918,32.470047,3.750911,1.259048
2027-08-01,333.34775,69.686745,0.992199,20.375677,2.7686546,28.19023,2.3842916,14.424691,24.243176,256.51907,2.7017288,5.0010705,108.28393,1.7877588,4.5180345,5.567088,5.249936,25.70121,44.561577,31.419668,100.24043,1.9998006,15.316472,85.445755,19.759388,5.805878,34.805817,82.46417,0.17096941,10.600939,31.199722,2.9003441,10.325256,201.74133,61.616543,17.307167,2.643555,17.97962,19.812828,106.68716,3.2154086,71.8807,18.351387,54.135895,116.07819,32.492985,3.753927,1.2626948
2027-09-01,335.121,70.64941,1.0000927,20.485212,2.78492,28.31237,2.3968725,14.469645,24.32481,257.3429,2.7140296,5.0172606,108.60833,1.8128964,4.5289617,5.592021,5.268673,25.72354,44.927345,31.454887,100.548836,2.011633,15.3781,85.592606,19.848879,5.824208,34.83564,83.18401,0.18406788,10.63606,31.275995,2.9124374,10.343939,202.23967,61.873165,17.363705,2.6518085,17.988909,19.816792,106.8052,3.2174585,72.10718,18.410816,54.287876,116.187546,32.498253,3.7600927,1.2674273
2027-10-01,336.3765,71.57057,1.0078849,20.589937,2.800948,28.40269,2.4078114,14.505189,24.38354,257.8209,2.7242236,5.0307465,108.81488,1.8371353,4.5369387,5.615786,5.2831745,25.729277,45.223724,31.471321,100.76232,2.0228043,15.437469,85.659874,19.936779,5.842227,34.84311,83.83839,0.19719166,10.661849,31.331175,2.9230206,10.354572,202.491,62.078697,17.4022,2.660362,17.989294,19.811663,106.816505,3.217683,72.26102,18.478148,54.397083,116.19665,32.486603,3.7671854,1.2724398
2027-11-01,337.84628,72.48419,1.0155048,20.695383,2.8167224,28.506163,2.4188077,14.542722,24.451683,258.46472,2.7349062,5.0447116,109.07419,1.8606037,4.5460835,5.6395054,5.2992406,25.745062,45.541725,31.49787,101.01364,2.0336988,15.498821,85.76997,20.026375,5.86047,34.86319,84.50035,0.20987688,10.690987,31.394793,2.9337242,10.369116,202.87375,62.29668,17.449482,2.6690283,17.996199,19.814642,106.89513,3.2191007,72.44996,18.547636,54.52159,116.26816,32.48772,3.7746139,1.2774777
2027-12-01,337.9919,73.31889,1.0226196,20.791536,2.8315172,28.535742,2.4266338,14.56148,24.462452,258.2079,2.7410169,5.0532165,109.03585,1.8819214,4.5480943,5.6608696,5.3057117,25.713957,45.70424,31.478384,101.05,2.0431347,15.556731,85.6642,20.1093,5.8771224,34.825565,85.01567,0.22172964,10.698647,31.416742,2.9410021,10.36102,202.60484,62.405663,17.450613,2.6772425,17.9807,19.792946,106.698975,3.2145748,72.473015,18.615469,54.54337,116.07557,32.44242,3.781768,1.2823076
2028-01-01,336.7785,74.05067,1.029254,20.870811,2.844975,28.48884,2.4311743,14.559079,24.415146,256.99997,2.7426684,5.0555086,108.6804,1.9014736,4.542864,5.678708,5.302564,25.631899,45.71568,31.405039,100.845535,2.0509353,15.603966,85.32592,20.177721,5.890772,34.722115,85.34688,0.23322192,10.684338,31.387611,2.9446094,10.330354,201.63914,62.385098,17.405413,2.684542,17.937777,19.741306,106.19601,3.2042768,72.306175,18.67582,54.447216,115.58331,32.342403,3.7879264,1.2867465
2028-02-01,335.80383,74.74588,1.0356025,20.946585,2.8579438,28.453474,2.435733,14.5588255,24.37748,255.99388,2.7447338,5.0583863,108.38525,1.9199795,4.538838,5.695851,5.300711,25.56321,45.743053,31.343971,100.67675,2.0583816,15.648973,85.043,20.244955,5.90434,34.635094,85.67581,0.24426872,10.673563,31.365128,2.9484816,10.304963,200.83607,62.382057,17.369837,2.6918643,17.901556,19.698467,105.77885,3.1957147,72.17881,18.738777,54.3758,115.1755,32.258656,3.7944884,1.2911891
2028-03-01,335.21808,75.3312,1.040935,21.010847,2.868772,28.436102,2.4400213,14.560631,24.356064,255.29852,2.7472734,5.061599,108.184715,1.935577,4.536722,5.71031,5.300808,25.512304,45.793747,31.299263,100.56541,2.0647974,15.687687,84.8394,20.302109,5.9158006,34.569935,85.97981,0.25364697,10.668107,31.351336,2.952305,10.287728,200.26479,62.394493,17.348244,2.6980512,17.873812,19.665264,105.46806,3.1895945,72.09802,18.792183,54.331642,114.87273,32.19412,3.8000839,1.2949699
2028-04-01,336.12686,76.09255,1.0473583,21.094046,2.8818781,28.505972,2.44846,14.583606,24.40045,255.60114,2.755435,5.071127,108.32048,1.9552023,4.5428224,5.729135,5.312628,25.512262,46.039024,31.303102,100.696266,2.0733938,15.737636,84.87039,20.373703,5.9301863,34.566525,86.47744,0.26479936,10.687155,31.385166,2.960115,10.295262,200.41293,62.523895,17.380255,2.7052612,17.869864,19.659035,105.45589,3.189764,72.196335,18.849459,54.38923,114.83261,32.17639,3.8060005,1.2992574
2028-05-01,336.03058,76.85632,1.0540297,21.17798,2.895573,28.52073,2.455057,14.593811,24.401217,255.1847,2.7605808,5.077261,108.22074,1.9749168,4.543584,5.7479625,5.317413,25.474451,46.173336,31.269943,100.66184,2.0817273,15.788715,84.72718,20.447952,5.9450464,34.515923,86.91033,0.27639577,10.690395,31.38887,2.9661214,10.285083,200.04066,62.583656,17.377155,2.7131002,17.847767,19.632475,105.220566,3.1851907,72.176125,18.915968,54.378124,114.58973,32.12109,3.812908,1.3039861
2028-06-01,336.97897,77.69758,1.0611359,21.272636,2.9102445,28.594551,2.4639924,14.618958,24.446814,255.49942,2.7690573,5.0877733,108.36249,1.9961541,4.5499363,5.7690434,5.329679,25.475935,46.425552,31.276909,100.80577,2.091092,15.84665,84.762314,20.532076,5.9619527,34.514748,87.46785,0.28870156,10.710263,31.429222,2.9747226,10.292686,200.20723,62.734028,17.410744,2.7216675,17.846497,19.629723,105.22456,3.1853812,72.29723,18.989195,54.451397,114.57251,32.10772,3.8206425,1.3090433
2028-07-01,338.5237,78.579926,1.0684338,21.372688,2.9253726,28.701601,2.4742002,14.651806,24.518206,256.22406,2.7794034,5.1005335,108.639015,2.018117,4.559425,5.7911506,5.3462234,25.49868,46.747017,31.305012,101.04874,2.101019,15.908372,84.89546,20.620878,5.9797077,34.53987,88.09175,0.3013505,10.739211,31.48908,2.9846594,10.310381,200.67117,62.929394,17.464731,2.7305307,17.856382,19.639433,105.35574,3.1883292,72.49107,19.064854,54.56534,114.671135,32.116238,3.8286023,1.3142647
2028-08-01,342.61435,79.58721,1.0761719,21.489155,2.9415808,28.950323,2.489904,14.718628,24.698711,258.6989,2.797964,5.1232142,109.49247,2.0423641,4.5824156,5.8168664,5.3808665,25.613737,47.362217,31.424301,101.70634,2.1130102,15.979824,85.45019,20.723082,6.00025,34.679333,88.98895,0.314685,10.808528,31.630545,3.0004919,10.371479,202.41106,63.327705,17.608067,2.7400434,17.911549,19.699997,106.0366,3.2027109,73.00731,19.142952,54.871307,115.284874,32.216957,3.836949,1.31969
2028-09-01,344.54648,80.461136,1.083269,21.592058,2.9565015,29.077526,2.5004852,14.756984,24.785156,259.71692,2.809045,5.1377354,109.861115,2.063451,4.593708,5.8391523,5.399445,25.654331,47.70987,31.472845,102.021065,2.1229322,16.044243,85.6603,20.816597,6.0189314,34.728287,89.66863,0.3268651,10.843119,31.70885,3.0113711,10.39598,203.11223,63.57017,17.675404,2.749283,17.933939,19.723381,106.29207,3.207729,73.27756,19.226887,55.034245,115.517296,32.25057,3.8459725,1.3250836
2028-10-01,345.72726,81.31153,1.090363,21.691042,2.9713354,29.161776,2.5093524,14.785404,24.838919,260.21906,2.81759,5.149397,110.05731,2.0840826,4.6009555,5.86062,5.4123793,25.668474,47.964325,31.494656,102.214874,2.132352,16.105633,85.74793,20.908262,6.0372334,34.74337,90.277405,0.33912033,10.865684,31.763762,3.02061,10.408107,203.4495,63.75617,17.716719,2.7586715,17.943987,19.732868,106.39234,3.2097132,73.45919,19.314163,55.14556,115.6086,32.258297,3.855339,1.3306324
2028-11-01,347.2317,82.26061,1.0980797,21.802786,2.9877808,29.265396,2.5193918,14.820276,24.90606,260.93112,2.827398,5.1631303,110.32419,2.1065,4.609889,5.884742,5.427735,25.69371,48.2589,31.529654,102.47021,2.142738,16.174755,85.88525,21.011763,6.0580163,34.772625,90.96711,0.3522955,10.893681,31.834044,3.0311453,10.424969,203.9518,63.982975,17.769615,2.769173,17.961765,19.750828,106.57149,3.212984,73.69551,19.413021,55.290356,115.777336,32.2798,3.8660097,1.3367348
2028-12-01,347.58524,83.1568,1.105567,21.911114,3.0038538,29.30394,2.5266995,14.840538,24.92356,260.87704,2.8331747,5.1726513,110.34308,2.127424,4.612582,5.907671,5.4344835,25.67999,48.40785,31.529577,102.55412,2.152187,16.243624,85.84248,21.114313,6.078459,34.755558,91.55538,0.36496902,10.902993,31.873325,3.0390131,10.421957,203.9126,64.12998,17.781748,2.7798262,17.96224,19.74931,106.52728,3.2110326,73.79924,19.518852,55.359337,115.74206,32.26592,3.8775415,1.3429573
