RMD,PT,activity_multiplier,base_score,raw_corr,raw_lag,resid_corr,resid_lag,diff_corr,diff_lag,segment_support,active_overlap,pt_hubness,pt_median_base_score,specificity_score,hub_multiplier,score
RMD_Anorexia Nervosa_NoM,PT_Acceptance And Commitment Therapy_NoM,1.0536709446106818,0.2475322657090669,0.7787407830452754,4,0.2046935123415292,0,0.17232468189078046,6,1.0,96,0.1875,0.230247327246012,0.0172849384630549,0.90625,0.23636591033461088
RMD_Anorexia Nervosa_NoM,PT_Animal Assisted Therapy_NoM,1.014848791053111,0.31463369730683877,0.8004032526268037,0,0.3810689560115083,0,0.14024964853106583,4,1.0,96,0.14583333333333334,0.15209071239172745,0.16254298491511132,0.9270833333333334,0.29602292534313546
RMD_Anorexia Nervosa_NoM,PT_Anticonvulsant Therapy_NoM,1.015357992649623,0.06736407307085736,0.4867026859089158,0,0.0,0,0.11639075781198771,5,0.3333333333333333,78,0.125,0.13966757469983454,0.0,0.9375,0.06412373438430774
RMD_Anorexia Nervosa_NoM,PT_Antidepressants_NoM,1.1,0.1368052743888276,0.40586878846183905,1,0.08460157595822916,6,0.1900194249760135,1,0.6666666666666666,96,0.14583333333333334,0.13750302433536565,0.0,0.9270833333333334,0.13951287877777316
RMD_Anorexia Nervosa_NoM,PT_Antipsychotic Medications_NoM,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Anxiolytic Medications_NoM,1.0946305522726425,0.12398735349538266,0.14757223798585306,6,0.0671861013051006,6,0.23065301068573027,1,0.6666666666666666,96,0.0625,0.13942732348780035,0.0,0.96875,0.13147908444299053
RMD_Anorexia Nervosa_NoM,PT_Art Therapy_NoM,1.00944061982617,0.11236991515442626,0.7685805863351461,0,0.0,0,0.12885742122621535,3,0.6666666666666666,96,0.125,0.1567738768869682,0.0,0.9375,0.10634133450309205
RMD_Anorexia Nervosa_NoM,PT_Augmentative Communication Devices_NoM,1.007662969222182,0.4003081838682378,0.5138142549412431,1,0.5391984808990032,1,0.23619431548791558,3,1.0,96,0.0625,0.13171337188270854,0.26859481198552926,0.96875,0.39077024149933864
RMD_Anorexia Nervosa_NoM,PT_Behavioral Activation Therapy_NoM,1.033268427962096,0.020284003655146196,0.046816460743553875,0,0.0,0,0.057209687574142014,0,0.3333333333333333,96,0.041666666666666664,0.1520851800142483,0.0,0.9791666666666666,0.020522178474331774
RMD_Anorexia Nervosa_NoM,PT_Biofeedback Devices_NoM,1.013836195561733,0.34298256057400567,0.5748408912128352,6,0.49762639626046307,6,0.2892513450006999,1,0.6666666666666666,96,0.08333333333333333,0.124168044842288,0.21881451573171767,0.9583333333333334,0.3332394620915228
RMD_Anorexia Nervosa_NoM,PT_Blockchain For Data Protection_NoM,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Brain Computer Interface_NoM,1.0877539027590606,0.07358761142181376,0.39018015880406404,1,0.0,0,0.10952692850171138,2,0.6666666666666666,96,0.16666666666666666,0.17051132629679108,0.0,0.9166666666666666,0.07337477722556221
RMD_Anorexia Nervosa_NoM,PT_Cbt For Insomnia_NoM,1.0071523670977125,0.27599401863145345,0.8762988184897059,0,0.32636953743883956,0,0.2148814414695461,3,0.6666666666666666,96,0.25,0.17080642986948577,0.10518758876196768,0.875,0.2432220255232937
RMD_Anorexia Nervosa_NoM,PT_Chronotherapy_NoM,1.0193709847062549,0.12088734110762948,0.5449333192550639,3,0.14420998236510757,0,0.05705996742077905,6,0.6666666666666666,96,0.041666666666666664,0.14806879651019483,0.0,0.9791666666666666,0.12066177611125091
RMD_Anorexia Nervosa_NoM,PT_Closed Loop Neurostimulation_NoM,1.0341383033952762,0.4566281090772527,0.8711449197228369,0,0.5393372896934726,0,0.2818040816509029,0,1.0,96,0.1875,0.17313707481289237,0.28349103426436034,0.90625,0.42794631006589234
RMD_Anorexia Nervosa_NoM,PT_Clozapine Protocol_NoM,1.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0
RMD_Anorexia Nervosa_NoM,PT_Cognitive Assistive Technologies_NoM,1.0014082708103802,0.13685974222498123,0.17066967244358247,6,0.1455579189423175,6,0.18147479978128087,4,0.6666666666666666,62,0.16666666666666666,0.10361653584912878,0.03324320637585246,0.9166666666666666,0.1256314379879834
