Column,Index,Date,Baseline,Original,Jump,Reduction_Fraction,Capped
PT_Electroencephalography_NoM,216,1970-01,338.0423442055275,388.4848321581068,50.44248795257931,0.3,373.352085772333
PT_Electroencephalography_NoM,228,1970-01,367.7166029219747,422.861580553009,55.144977631034294,0.3,406.3180872636987
PT_Metaverse_NoM,216,1970-01,16.66995081218113,87.73268632084182,71.0627355086607,0.3,66.41386566824362
PT_Metaverse_NoM,217,1970-01,25.21142060781258,88.55816203096394,63.34674142315136,0.3,69.55413960401853
PT_Metaverse_NoM,228,1970-01,190.5456327912324,358.09670686055085,167.55107406931845,0.3,307.8313846397553
PT_Metaverse_NoM,229,1970-01,224.9064782969182,358.3174290335175,133.4109507365993,0.3,318.2941438125377
PT_Metaverse_NoM,230,1970-01,307.8313846397553,366.8944918440198,59.0631072042645,0.3,349.1755596827404
PT_Metaverse_NoM,231,1970-01,318.2941438125377,368.4693759142519,50.17523210171419,0.3,353.4168062837376
PT_Metaverse_NoM,240,1970-01,431.2853676002524,540.3577417213743,109.07237412112187,0.3,507.63602948503774
PT_Metaverse_NoM,241,1970-01,448.3638905338267,528.9704190815603,80.6065285477336,0.3,504.7884605172402
PT_Metaverse_NoM,252,1970-01,463.4349535365398,515.3211007484636,51.88614721192374,0.3,499.7552565848864
PT_Personalized Medicine_NoM,240,1970-01,331.1083105757254,389.7576271486111,58.64931657288571,0.3,372.1628321767454
PT_Personalized Medicine_NoM,241,1970-01,339.5990008795588,392.136602655015,52.53760177545621,0.3,376.3753221223781
PT_Personalized Medicine_NoM,252,1970-01,435.0298328390939,492.9192259951757,57.88939315608178,0.3,475.55240804835114
RMD_Anorexia Nervosa_NoP,1,1970-01,231.0,362.30158730158735,131.30158730158735,0.3,322.91111111111115
RMD_Anorexia Nervosa_NoP,2,1970-01,276.9555555555556,452.2073809523811,175.2518253968255,0.3,399.6318333333334
RMD_Anorexia Nervosa_NoP,3,1970-01,322.91111111111115,471.5313996031747,148.62028849206354,0.3,426.94531305555563
RMD_Anorexia Nervosa_NoP,4,1970-01,399.6318333333334,517.7136927242065,118.08185939087303,0.3,482.2891349069445
RMD_Anorexia Nervosa_NoP,5,1970-01,426.94531305555563,527.0241087044346,100.07879564887901,0.3,497.00047000977094
RMD_Anorexia Nervosa_NoP,6,1970-01,482.2891349069445,548.3425292097845,66.05339430283999,0.3,528.5265109189326
RMD_Anorexia Nervosa_NoP,7,1970-01,497.00047000977094,612.2515220026775,115.25105199290653,0.3,577.6762064048055
RMD_Anorexia Nervosa_NoP,8,1970-01,528.5265109189326,638.5265325094423,110.00002159050973,0.3,605.5265260322893
RMD_Anorexia Nervosa_NoP,9,1970-01,577.6762064048055,629.3163299379041,51.64012353309863,0.3,613.8242928779746
RMD_Anorexia Nervosa_NoP,11,1970-01,613.8242928779746,712.6244817320883,98.80018885411369,0.3,682.9844250758541
RMD_Anorexia Nervosa_NoP,12,1970-01,633.454732640497,753.6155620725267,120.16082943202969,0.3,717.5673132429177
RMD_Anorexia Nervosa_NoP,13,1970-01,682.9844250758541,742.9834645050666,59.99903942921253,0.3,724.9837526763029
RMD_Anorexia Nervosa_NoP,14,1970-01,717.5673132429177,855.0346196892875,137.46730644636978,0.3,813.7944277553765
RMD_Anorexia Nervosa_NoP,15,1970-01,724.9837526763029,833.6867957804494,108.70304310414656,0.3,801.0758828492054
RMD_Anorexia Nervosa_NoP,23,1970-01,732.1640441186812,795.3718986468743,63.20785452819314,0.3,776.4095422884164
RMD_Anorexia Nervosa_NoP,35,1970-01,607.7816372789435,921.6582350761668,313.8765977972232,0.3,827.4952557369998
RMD_Anorexia Nervosa_NoP,36,1970-01,619.6595928865278,852.8687364734976,233.20914358696984,0.3,782.9059933974066
RMD_Anorexia Nervosa_NoP,47,1970-01,476.1459843102137,1057.7716455463385,581.6256612361249,0.3,883.283947175501
RMD_Anorexia Nervosa_NoP,48,1970-01,518.5674559770465,976.2300499944614,457.6625940174149,0.3,838.9312717892369
RMD_Anorexia Nervosa_NoP,49,1970-01,838.9312717892369,895.9614637477997,57.030191958562796,0.3,878.8524061602309
RMD_Anorexia Nervosa_NoP,59,1970-01,539.3917886096152,1055.9171322389857,516.5253436293705,0.3,900.9595291501746
RMD_Anorexia Nervosa_NoP,60,1970-01,539.3917886096152,1060.1513875952555,520.7595989856403,0.3,903.9235078995634
RMD_Anorexia Nervosa_NoP,61,1970-01,900.9595291501746,969.6662223779222,68.70669322774756,0.3,949.0542144095979
RMD_Anorexia Nervosa_NoP,63,1970-01,903.9235078995634,1128.3653545308398,224.44184663127635,0.3,1061.032800541457
RMD_Anorexia Nervosa_NoP,64,1970-01,949.0542144095979,1047.3000618558854,98.24584744628748,0.3,1017.8263076219991
RMD_Anorexia Nervosa_NoP,72,1970-01,715.5091401062743,869.2320475817307,153.7229074754564,0.3,823.1151753390939
RMD_Anorexia Nervosa_NoP,73,1970-01,715.5091401062743,940.3141786533092,224.80503854703488,0.3,872.8726670891988
RMD_Anorexia Nervosa_NoP,74,1970-01,823.1151753390939,944.7061289040664,121.59095356497255,0.3,908.2288428345746
RMD_Anorexia Nervosa_NoP,75,1970-01,872.8726670891988,995.1076153852276,122.23494829602885,0.3,958.4371308964189
RMD_Anorexia Nervosa_NoP,79,1970-01,829.2683702270991,880.4696534112576,51.201283184158456,0.3,865.10926845601
RMD_Anorexia Nervosa_NoP,83,1970-01,784.4840755613916,948.7386350660482,164.25455950465664,0.3,899.4622672146512
RMD_Anorexia Nervosa_NoP,84,1970-01,784.4840755613916,859.5975585802636,75.11348301887199,0.3,837.063513674602
RMD_Anorexia Nervosa_NoP,86,1970-01,837.063513674602,908.425611306642,71.3620976320401,0.3,887.01698201703
RMD_Anorexia Nervosa_NoP,93,1970-01,695.3844471661922,794.0827029928623,98.6982558266701,0.3,764.4732262448613
RMD_Anorexia Nervosa_NoP,95,1970-01,727.0150112271673,959.6698072326994,232.65479600553215,0.3,889.8733684310398
RMD_Anorexia Nervosa_NoP,96,1970-01,764.4732262448613,914.3324809507212,149.85925470585994,0.3,869.3747045389632
RMD_Anorexia Nervosa_NoP,102,1970-01,911.5927317969667,985.2744318608004,73.68170006383366,0.3,963.1699218416503
RMD_Anorexia Nervosa_NoP,107,1970-01,859.7794143416914,1682.7761470783048,822.9967327366134,0.3,1435.8771272573208
RMD_Anorexia Nervosa_NoP,108,1970-01,859.7794143416914,1564.6012110080949,704.8217966664034,0.3,1353.1546720081737
RMD_Anorexia Nervosa_NoP,109,1970-01,1353.1546720081737,1433.320762489865,80.1660904816913,0.3,1409.2709353453577
RMD_Anorexia Nervosa_NoP,119,1970-01,1157.2642176879694,1684.8583421663363,527.5941244783669,0.3,1526.5801048228263
RMD_Anorexia Nervosa_NoP,120,1970-01,1178.2401065293918,1585.8113752271677,407.57126869777585,0.3,1463.539994617835
RMD_Anorexia Nervosa_NoP,124,1970-01,1370.1185109956848,1487.4152348807706,117.29672388508584,0.3,1452.226217715245
RMD_Anorexia Nervosa_NoP,131,1970-01,1178.1156331526267,1450.2273428888514,272.1117097362246,0.3,1368.593829967984
RMD_Anorexia Nervosa_NoP,132,1970-01,1178.1156331526267,1373.9320938163264,195.81646066369967,0.3,1315.1871556172164
RMD_Anorexia Nervosa_NoP,137,1970-01,1185.788419941334,1325.5165106815618,139.7280907402278,0.3,1283.5980834594934
RMD_Anorexia Nervosa_NoP,143,1970-01,1104.9452388077034,1399.637663123882,294.69242431617863,0.3,1311.2299358290284
RMD_Anorexia Nervosa_NoP,144,1970-01,1104.9452388077034,1294.391880138572,189.44664133086872,0.3,1237.5578877393116
RMD_Anorexia Nervosa_NoP,152,1970-01,960.5840684069074,1149.1264677908937,188.54239938398632,0.3,1092.5637479756979
RMD_Anorexia Nervosa_NoP,153,1970-01,960.5840684069074,1168.8611577239674,208.27708931706002,0.3,1106.3780309288493
RMD_Anorexia Nervosa_NoP,155,1970-01,1106.3780309288493,1832.3574664642304,725.9794355353811,0.3,1614.563635803616
RMD_Anorexia Nervosa_NoP,156,1970-01,1109.5818823989234,1886.411561933543,776.8296795346196,0.3,1653.362658073157
RMD_Anorexia Nervosa_NoP,157,1970-01,1614.563635803616,1768.850690046257,154.2870542426408,0.3,1722.5645737734646
RMD_Anorexia Nervosa_NoP,167,1970-01,1182.0748650059404,1502.7433630095395,320.6684980035991,0.3,1406.5428136084597
RMD_Anorexia Nervosa_NoP,168,1970-01,1182.0748650059404,44195.167311811696,43013.09244680576,0.3,31291.239577769968
RMD_Anorexia Nervosa_NoP,169,1970-01,1406.5428136084597,41784.26302917459,40377.72021556613,0.3,29670.946964504747
RMD_Anorexia Nervosa_NoP,170,1970-01,29670.946964504747,39305.408216798176,9634.46125229343,0.3,36415.06984111015
RMD_Anorexia Nervosa_NoP,171,1970-01,31291.239577769968,36850.47164616271,5559.232068392743,0.3,35182.70202564489
RMD_Anorexia Nervosa_NoP,235,1970-01,0.0,82.22142086017192,82.22142086017192,0.3,57.55499460212034
RMD_Anorexia Nervosa_NoP,236,1970-01,41.45061431063533,139.26959520600954,97.81898089537421,0.3,109.92390093739728
RMD_Anorexia Nervosa_NoP,237,1970-01,57.55499460212034,336.01712001424926,278.4621254121289,0.3,252.47848239061054
RMD_Anorexia Nervosa_NoP,238,1970-01,109.92390093739728,539.5916321384192,429.6677312010219,0.3,410.6913127781126
RMD_Anorexia Nervosa_NoP,239,1970-01,252.47848239061054,920.350020603766,667.8715382131554,0.3,719.9885591398192
RMD_Anorexia Nervosa_NoP,240,1970-01,410.6913127781126,984.770462976702,574.0791501985893,0.3,812.5467179171251
RMD_Anorexia Nervosa_NoP,241,1970-01,719.9885591398192,1155.0020722895242,435.013513149705,0.3,1024.4980183446128
RMD_Anorexia Nervosa_NoP,242,1970-01,812.5467179171251,1222.3397960239024,409.79307810677733,0.3,1099.401872591869
RMD_Anorexia Nervosa_NoP,243,1970-01,1024.4980183446128,1316.8799055475804,292.3818872029676,0.3,1229.16533938669
RMD_Anorexia Nervosa_NoP,244,1970-01,1099.401872591869,1234.4485490355971,135.04667644372807,0.3,1193.9345461024786
RMD_Anorexia Nervosa_NoP,245,1970-01,1193.9345461024786,1249.7579663820152,55.82342027953655,0.3,1233.0109402981543
RMD_Anorexia Nervosa_NoP,246,1970-01,1229.16533938669,1326.258961685691,97.09362229900103,0.3,1297.1308749959908
RMD_Anorexia Nervosa_NoP,247,1970-01,1233.0109402981543,1475.9905467775548,242.97960647940045,0.3,1403.0966648337346
RMD_Anorexia Nervosa_NoP,248,1970-01,1297.1308749959908,1554.4216396739637,257.2907646779729,0.3,1477.2344102705717
RMD_Anorexia Nervosa_NoP,249,1970-01,1403.0966648337346,1534.1752928601393,131.07862802640466,0.3,1494.851704452218
RMD_Anorexia Nervosa_NoP,251,1970-01,1494.851704452218,1868.3940419573923,373.5423375051744,0.3,1756.33134070584
RMD_Anorexia Nervosa_NoP,252,1970-01,1514.2157201364123,96203.17129154522,94688.9555714088,0.3,67796.48462012257
RMD_Anorexia Nervosa_NoP,253,1970-01,1756.33134070584,90919.36412638324,89163.0327856774,0.3,64170.45429068001
RMD_Anorexia Nervosa_NoP,254,1970-01,64170.45429068001,85801.30260313724,21630.84831245723,0.3,79312.04810940007
