epoch,train_loss,valid_loss,lr
1,0.21107856929302216,0.24325016140937805,1e-05
2,0.21049304637644026,0.2426963932812214,1e-05
3,0.20997441642814213,0.24205833673477173,1e-05
4,0.20927070412370893,0.24132605269551277,1e-05
5,0.20942103697193992,0.2404739260673523,1e-05
6,0.2082079980108473,0.23950248211622238,1e-05
7,0.20842622054947746,0.23839844018220901,1e-05
8,0.20685096747345394,0.23716948926448822,1e-05
9,0.20656227237648433,0.23583712056279182,1e-05
10,0.20555804504288566,0.23436244577169418,1e-05
11,0.20487725569142234,0.23288020491600037,1e-05
12,0.20410117341412437,0.23131810501217842,1e-05
13,0.20241952108012307,0.22977524623274803,1e-05
14,0.2024610373708937,0.22830982133746147,1e-05
15,0.20176507698165047,0.2269534170627594,1e-05
16,0.20067920453018612,0.22567608952522278,1e-05
17,0.2003946469889747,0.22446149587631226,1e-05
18,0.19957821898990208,0.2233176901936531,1e-05
19,0.19874866803487143,0.22224494814872742,1e-05
20,0.19793036745654213,0.22129053622484207,1e-05
21,0.1973618682887819,0.22019853070378304,1e-05
22,0.19610654479927486,0.21918963268399239,1e-05
23,0.19670811957783169,0.2182082124054432,1e-05
24,0.19572876724931929,0.21710384637117386,1e-05
25,0.19459322094917297,0.21587541326880455,1e-05
26,0.19420449270142448,0.21460486948490143,1e-05
27,0.19305826723575592,0.2131793349981308,1e-05
28,0.19171571069293553,0.211622953414917,1e-05
29,0.18999343779351976,0.20988252386450768,1e-05
30,0.1895105524195565,0.20818408206105232,1e-05
31,0.18758664031823477,0.20612145215272903,1e-05
32,0.18639280729823643,0.2039547897875309,1e-05
33,0.184580620792177,0.20166493952274323,1e-05
34,0.18362725608878666,0.19917574897408485,1e-05
35,0.18150281574991015,0.1963052786886692,1e-05
36,0.17933202120992872,0.1934717744588852,1e-05
37,0.17734819650650024,0.19059120118618011,1e-05
38,0.1755430516269472,0.187533438205719,1e-05
39,0.17371899386247,0.18460942432284355,1e-05
40,0.17112831440236834,0.1810603104531765,1e-05
41,0.1690030876133177,0.17779935896396637,1e-05
42,0.1672225213713116,0.17453395947813988,1e-05
43,0.16517488492859733,0.17099250480532646,1e-05
44,0.16284534169567955,0.16755631938576698,1e-05
45,0.1606741878721449,0.1643267385661602,1e-05
46,0.158985897898674,0.16107768565416336,1e-05
47,0.1572822779417038,0.1581289879977703,1e-05
48,0.15555488732126024,0.1552000753581524,1e-05
49,0.15381914211644065,0.15281237661838531,1e-05
