Rank,RMD,PT,BRGI_Score,Mean_Gap,Max_Gap,Positive_Gap_Months,RMD_Burden,PT_Readiness
366,RMD_Delusional Disorder,PT_Digital Health Tools,0.0,-0.07972553660639163,-0.0505752079359826,0,0.191480268495844,0.2712058051022357
367,RMD_Autosarcophagy,PT_Narrative Exposure Therapy,0.0,-0.07634219739510094,-0.0543587196930789,0,0.21154005420558908,0.2878822516006901
368,RMD_Delusional Disorder,PT_Metaverse,0.0,-0.09352708661324992,-0.0554112107816103,0,0.191480268495844,0.285007355109094
369,RMD_Hypergraphia,PT_Machine Learning Neuroimaging,0.0,-0.25922155124830903,-0.0556302386588329,0,0.36348383106523563,0.6227053823135447
370,RMD_Delusional Disorder,PT_Resting State Fmri,0.0,-0.0829230051105503,-0.0562715975238755,0,0.191480268495844,0.2744032736063944
371,RMD_Savant Syndrome,PT_Machine Learning Neuroimaging,0.0,-0.23656432122227994,-0.0673311010802142,0,0.38614106109126467,0.6227053823135447
372,RMD_Wendigo Psychosis,PT_Anxiolytic Medications,0.0,-0.08180555094318237,-0.0740482782011555,0,0.22485537070905748,0.3066609216522399
373,RMD_Delusional Disorder,PT_Anxiolytic Medications,0.0,-0.11518065315639585,-0.0876032254050276,0,0.191480268495844,0.3066609216522399
374,RMD_Intermetamorphosis Syndrome,PT_Psilocybin Assisted Therapy,0.0,-0.17706814213878466,-0.0940071903524521,0,0.027091625400894777,0.2041597675396795
375,RMD_Delusional Disorder,PT_Antidepressants,0.0,-0.12404352474752829,-0.0964361115341957,0,0.191480268495844,0.3155237932433723
376,RMD_Intermetamorphosis Syndrome,PT_Focused Ultrasound Therapy,0.0,-0.12515128466879433,-0.1041504817771086,0,0.027091625400894777,0.15224291006968915
377,RMD_Delusional Disorder,PT_Cognitive Behavioral Therapy,0.0,-0.1291813535782212,-0.1042762706793146,0,0.191480268495844,0.32066162207406523
378,RMD_Delusional Disorder,PT_Selective Serotonin Reuptake Inhibitors,0.0,-0.1372303902996803,-0.1124625438626455,0,0.191480268495844,0.32871065879552436
379,RMD_Autosarcophagy,PT_Light Therapy,0.0,-0.13005104530823908,-0.1141784283335859,0,0.21154005420558908,0.3415910995138282
380,RMD_Autosarcophagy,PT_Acceptance And Commitment Therapy,0.0,-0.12843443523075204,-0.1184137803488751,0,0.21154005420558908,0.3399744894363412
381,RMD_Intermetamorphosis Syndrome,PT_Trauma Focused Cbt,0.0,-0.18813234063673465,-0.1617198049720764,0,0.027091625400894777,0.21522396603762947
382,RMD_Intermetamorphosis Syndrome,PT_Clozapine Protocol,0.0,-0.2914446239858475,-0.2678420673748612,0,0.027091625400894777,0.3185362493867423
383,RMD_Intermetamorphosis Syndrome,PT_Vagus Nerve Stimulation,0.0,-0.3445416548222248,-0.3178972965203642,0,0.027091625400894777,0.3716332802231197
384,RMD_Intermetamorphosis Syndrome,PT_Pharmacogenomic Testing,0.0,-0.4511068264418446,-0.3709884751133969,0,0.027091625400894777,0.4781984518427394
