epoch,train_loss,valid_loss,valid_rme,valid_rse,lr
1,0.22480905801057816,0.27780812978744507,0.5114992835979545,0.8824561860156284,1e-05
2,0.22348900735378266,0.2771400014559428,0.5106947945477694,0.8810682537903398,1e-05
3,0.22201038151979446,0.2763669689496358,0.5097489471102182,0.879436445205149,1e-05
4,0.2228027328848839,0.27546361088752747,0.5086209742469427,0.8774904275609923,1e-05
5,0.22114346772432328,0.27440743645032245,0.5072826386078885,0.8751814848087341,1e-05
6,0.22124712020158768,0.27315498391787213,0.5056685208434363,0.8723967532326132,1e-05
7,0.22050252705812454,0.2716946502526601,0.5037455495298093,0.8690791768729665,1e-05
8,0.2192112311720848,0.27003373702367145,0.501520625304189,0.8652406609467975,1e-05
9,0.2190608263015747,0.2681727111339569,0.498965770566212,0.8608329375340876,1e-05
10,0.21785044074058532,0.2661225199699402,0.4960795032707689,0.8558534497595547,1e-05
11,0.21562822461128234,0.26386502385139465,0.4928076063086035,0.8502086603984457,1e-05
12,0.2148977190256119,0.2615233858426412,0.4892953792110313,0.8441492452079828,1e-05
13,0.21401563435792922,0.2590498427549998,0.48546737344132557,0.8375450377732848,1e-05
14,0.21277559846639632,0.25654874245325726,0.481455799487854,0.8306241321837422,1e-05
15,0.21075699031352996,0.2539676974217097,0.4771466363517104,0.8231898154838396,1e-05
16,0.20942334085702896,0.2515459458033244,0.4729761838600158,0.8159948071665398,1e-05
17,0.208730848133564,0.24919929603735605,0.4688110639495137,0.8088089988020292,1e-05
18,0.20812844932079316,0.24690118928750357,0.4646871795079671,0.801694331289187,1e-05
19,0.20538395643234253,0.24459373454252878,0.4604863408170362,0.7944468996541125,1e-05
20,0.2049277827143669,0.24248965084552765,0.456621837886422,0.7877797260600307,1e-05
21,0.20375575721263886,0.24042828877766928,0.45291836420882137,0.7813903656809582,1e-05
22,0.20321255326271057,0.23850928246974945,0.4494688409731093,0.7754391293532228,1e-05
23,0.20100582838058473,0.23642228543758392,0.44570078510895766,0.768938349560955,1e-05
24,0.19939248710870744,0.23436356087525687,0.4421074280401919,0.7627389661491342,1e-05
25,0.19879499971866607,0.23234841724236807,0.4387471902033194,0.7569417680674989,1e-05
26,0.1966073766350746,0.22993415594100952,0.43454486269900966,0.7496917678802912,1e-05
27,0.19531682282686233,0.22746662298838297,0.4303243331132533,0.7424103648350816,1e-05
28,0.1923406556248665,0.2249238739411036,0.4260011453758576,0.7349518524099296,1e-05
29,0.19188761860132217,0.2223425010840098,0.4218158582497645,0.7277312508702889,1e-05
30,0.1897134706377983,0.21947897970676422,0.41704096630795806,0.7194934427897693,1e-05
31,0.18805813044309616,0.2167153904835383,0.4126070723211777,0.711843936129175,1e-05
32,0.18578005582094193,0.21357232828934988,0.40739582630063564,0.7028533149589382,1e-05
33,0.1844271242618561,0.21026297907034555,0.4020869382699434,0.6936942384288701,1e-05
34,0.18259247094392778,0.20671523114045462,0.3963966559707656,0.6838771673671801,1e-05
35,0.1796955868601799,0.203148752450943,0.390839492733873,0.6742897578979048,1e-05
36,0.1780255541205406,0.20011003812154135,0.3863770131790621,0.6665909344305264,1e-05
37,0.17564679384231568,0.19626161952813467,0.3803439787090873,0.6561825355154277,1e-05
38,0.17310743927955627,0.19260705510775247,0.37484401299984343,0.6466938051913965,1e-05
39,0.1710936114192009,0.1892421692609787,0.37001002268466526,0.6383540385611043,1e-05
40,0.16882090866565705,0.18628230194250742,0.365870684101709,0.6312127090310827,1e-05
41,0.16753457486629486,0.18285147845745087,0.36116048510423476,0.6230865114468983,1e-05
42,0.16520651429891586,0.17963060239950815,0.35671214604625695,0.6154120836518188,1e-05
43,0.16273682713508605,0.17668684323628744,0.35279774175274253,0.6086588185072813,1e-05
44,0.16275770366191863,0.17420131464799246,0.34966619558368794,0.603256167169752,1e-05
45,0.15943602621555328,0.17158028980096182,0.3462119624838857,0.5972968052222261,1e-05
46,0.15797183364629747,0.1692301332950592,0.34334232766838163,0.592346012375099,1e-05
47,0.15609700828790665,0.16716894010702768,0.3409470802605568,0.5882136490270903,1e-05
48,0.154850372672081,0.1656106859445572,0.33923981409632004,0.5852682146225523,1e-05
49,0.15344013571739196,0.16388145089149475,0.33734567647482705,0.5820003831419412,1e-05
50,0.15149307548999785,0.16161973277727762,0.33452302419763413,0.5771306461885307,1e-05
