node,category,horizon,window_index,t_index,forecast,ci_95,lower,upper,actual,recal_horizon,recal_category,recal_group,recal_scale
Global_Disaster_Total,Other,1,0,249,35.031307220458984,1.27606201171875,33.755245208740234,36.307369232177734,37.164363861083984,1,Other,H1|Other,12.0
Global_Holidays_Average,Other,1,0,249,1.239967703819275,0.0523030757904048,1.18766462802887,1.2922707796096797,1.1670454740524292,1,Other,H1|Other,12.0
Global_Holidays_Total,Other,1,0,249,44.56135177612305,2.096855163574218,42.46449661254883,46.658206939697266,42.003326416015625,1,Other,H1|Other,12.0
PT_Animal-Assisted Interventions,PT,1,0,249,4.031946182250977,0.780057907104492,3.2518882751464844,4.812004089355469,11.913220405578612,1,PT,H1|PT,12.0
PT_Antidepressants,PT,1,0,249,73.74822998046875,8.251968383789062,65.49626159667969,82.00019836425781,94.72491455078124,1,PT,H1|PT,12.0
PT_Antipsychotic Medications,PT,1,0,249,50.752532958984375,3.6479873657226562,47.10454559326172,54.40052032470703,70.1819839477539,1,PT,H1|PT,12.0
PT_Behavioral Activation Therapy,PT,1,0,249,3.44126033782959,0.3628764152526852,3.0783839225769047,3.804136753082275,23.61002922058105,1,PT,H1|PT,12.0
PT_Benzodiazepines,PT,1,0,249,37.39189910888672,3.4162673950195304,33.97563171386719,40.80816650390625,55.57416915893555,1,PT,H1|PT,12.0
PT_Biofeedback Devices,PT,1,0,249,0.6596492528915405,0.1099734306335448,0.5496758222579957,0.7696226835250853,1.206689953804016,1,PT,H1|PT,12.0
PT_Brain Stimulation Technologies,PT,1,0,249,0.6756206154823303,0.6504800319671629,0.02514058351516746,1.3261006474494932,1.1630693674087524,1,PT,H1|PT,12.0
PT_Brain-Computer Interface,PT,1,0,249,17.462081909179688,1.3056221008300777,16.15645980834961,18.767704010009766,16.504484176635742,1,PT,H1|PT,12.0
PT_Cognitive Behavioral Therapy,PT,1,0,249,72.56877136230469,9.432083129882812,63.136688232421875,82.0008544921875,44.88357925415039,1,PT,H1|PT,12.0
PT_Cognitive Enhancement Programs,PT,1,0,249,0.0118458783254027,0.028556635603308,-0.016710757277905303,0.0404025139287107,0.014198986813426,1,PT,H1|PT,12.0
PT_Cognitive Technologies,PT,1,0,249,8.184268951416016,4.1978960037231445,3.986372947692871,12.38216495513916,14.563606262207031,1,PT,H1|PT,12.0
PT_Creative Arts Therapies,PT,1,0,249,4.721498489379883,0.43943309783935436,4.282065391540528,5.160931587219237,13.15995979309082,1,PT,H1|PT,12.0
PT_Dietary Interventions & Supplements,PT,1,0,249,0.1715481728315353,0.0432220101356496,0.1283261626958857,0.21477018296718492,0.2045585662126541,1,PT,H1|PT,12.0
PT_Digital Health Tools,PT,1,0,249,5.272446632385254,1.3093156814575189,3.9631309509277353,6.5817623138427725,36.22772216796875,1,PT,H1|PT,12.0
PT_Digital Imaging Technologies for Brain Scanning,PT,1,0,249,0.2906736433506012,0.0495244860649104,0.2411491572856908,0.3401981294155116,0.4984205067157745,1,PT,H1|PT,12.0
PT_Electroencephalography,PT,1,0,249,40.08707046508789,6.1446075439453125,33.94246292114258,46.2316780090332,11.285811424255373,1,PT,H1|PT,12.0
PT_Exposure Therapy,PT,1,0,249,3.9283292293548575,0.6580352783203116,3.270293951034546,4.586364507675169,13.880711555480955,1,PT,H1|PT,12.0
PT_Expressive Writing & Journaling,PT,1,0,249,0.8945450186729431,0.14079880714416482,0.7537462115287783,1.035343825817108,2.1671266555786133,1,PT,H1|PT,12.0
PT_Eye Movement Desensitization and Reprocessing,PT,1,0,249,5.9998626708984375,1.386857986450195,4.613004684448242,7.386720657348633,6.392275333404541,1,PT,H1|PT,12.0
PT_Genetic Testing,PT,1,0,249,3.6731791496276855,0.5144176483154292,3.1587615013122563,4.187596797943115,8.56177043914795,1,PT,H1|PT,12.0
PT_Interpersonal Psychotherapy,PT,1,0,249,16.756732940673828,1.9825744628906243,14.774158477783203,18.739307403564453,16.35737419128418,1,PT,H1|PT,12.0
PT_Meditation and Relaxation Techniques,PT,1,0,249,1.7207417488098145,0.2864162921905512,1.4343254566192631,2.0071580410003658,4.060667991638184,1,PT,H1|PT,12.0
PT_Metaverse,PT,1,0,249,10.848613739013672,1.916255950927734,8.932357788085938,12.764869689941406,101.03410339355467,1,PT,H1|PT,12.0
PT_Mindfulness-Based Stress Reduction,PT,1,0,249,34.20309829711914,5.297538757324218,28.905559539794922,39.50063705444336,48.78402328491211,1,PT,H1|PT,12.0
PT_Mood Stabilizers,PT,1,0,249,25.346811294555664,3.284465789794921,22.062345504760742,28.631277084350586,149.20091247558594,1,PT,H1|PT,12.0
PT_Neurocognitive Training,PT,1,0,249,1.3406765460968018,0.5030014514923092,0.8376750946044925,1.8436779975891109,2.18336820602417,1,PT,H1|PT,12.0
PT_Neurofeedback Systems,PT,1,0,249,0.3150185942649841,0.0617952346801752,0.2532233595848089,0.37681382894515925,0.644741415977478,1,PT,H1|PT,12.0
PT_Neuromodulation Techniques,PT,1,0,249,3.622596263885498,0.4142589569091792,3.208337306976319,4.036855220794677,9.982540130615234,1,PT,H1|PT,12.0
PT_Neuroprotective Agents,PT,1,0,249,11.132120132446287,1.1879024505615228,9.944217681884764,12.32002258300781,13.00477123260498,1,PT,H1|PT,12.0
PT_Peer Support Programs & Online Communities,PT,1,0,249,-0.0733497664332389,0.5323387831449504,-0.6056885495781893,0.45898901671171155,0.0033653283026069,1,PT,H1|PT,12.0
PT_Personalized Medicine,PT,1,0,249,115.00812530517578,58.5355224609375,56.47260284423828,173.54364776611328,179.04310607910156,1,PT,H1|PT,12.0
PT_Privacy-Preserving AI in Digital Mental Health,PT,1,0,249,0.1424458622932434,0.0030890107154843997,0.139356851577759,0.1455348730087278,10.932701110839844,1,PT,H1|PT,12.0
PT_Psychoeducation Programs,PT,1,0,249,0.921515703201294,0.0542067289352412,0.8673089742660527,0.9757224321365352,2.370645046234131,1,PT,H1|PT,12.0
PT_Psychophysiological Metrics for Treatment Response,PT,1,0,249,2.079401016235352,0.3527941703796384,1.7266068458557136,2.4321951866149902,6.853199005126953,1,PT,H1|PT,12.0
PT_Regenerative Medicine Approaches,PT,1,0,249,2.87744402885437,0.5127053260803216,2.3647387027740487,3.3901493549346915,4.396684169769287,1,PT,H1|PT,12.0
