node,year,month,forecast,ci_95,variance
Global_Disaster_Total,-1,12,33.26282501220703,0.0066814422607421875,0.0005810927832499146
Global_Holidays_Average,-1,12,1.224968671798706,0.0004423856735229492,2.548194970586337e-06
Global_Holidays_Total,-1,12,43.973960876464844,0.013574600219726562,0.002397924894466996
PT_Animal-Assisted Interventions,-1,12,21.521137237548828,0.053055763244628906,0.03663391247391701
PT_Antidepressants,-1,12,140.81549072265625,0.1185455322265625,0.1828916072845459
PT_Antipsychotic Medications,-1,12,73.65675354003906,0.049694061279296875,0.03212561085820198
PT_Behavioral Activation Therapy,-1,12,64.39798736572266,0.226959228515625,0.6704700589179993
PT_Benzodiazepines,-1,12,69.15473937988281,0.07302474975585938,0.06941910088062286
PT_Biofeedback Devices,-1,12,1.3337582349777222,0.001816391944885254,4.2943822336383164e-05
PT_Brain Stimulation Technologies,-1,12,0.4796580970287323,0.0030536502599716187,0.00012136583245592192
PT_Brain-Computer Interface,-1,12,28.873517990112305,0.022179603576660156,0.006400836631655693
PT_Cognitive Behavioral Therapy,-1,12,53.536067962646484,0.07018661499023438,0.06411422789096832
PT_Cognitive Enhancement Programs,-1,12,0.07755914330482483,0.00021334737539291382,5.924350716668414e-07
PT_Cognitive Technologies,-1,12,29.321704864501953,0.05698871612548828,0.042264681309461594
PT_Creative Arts Therapies,-1,12,20.14324188232422,0.03711700439453125,0.017932547256350517
PT_Dietary Interventions & Supplements,-1,12,0.30161553621292114,0.0004420280456542969,2.543064965720987e-06
PT_Digital Health Tools,-1,12,60.99024200439453,0.17874526977539062,0.4158083200454712
PT_Digital Imaging Technologies for Brain Scanning,-1,12,0.624904990196228,0.0005435645580291748,3.846042545774253e-06
PT_Electroencephalography,-1,12,65.11740112304688,0.19600296020507812,0.5000628232955933
PT_Exposure Therapy,-1,12,18.581655502319336,0.032745361328125,0.013956799171864986
PT_Expressive Writing & Journaling,-1,12,2.424109697341919,0.003657698631286621,0.0001741463493090123
PT_Eye Movement Desensitization and Reprocessing,-1,12,9.785161018371582,0.014106273651123047,0.0025902767665684223
PT_Genetic Testing,-1,12,10.547338485717773,0.019153594970703125,0.004774040542542934
PT_Interpersonal Psychotherapy,-1,12,13.624556541442871,0.006039142608642578,0.00047458044718950987
PT_Meditation and Relaxation Techniques,-1,12,5.797380447387695,0.007585287094116211,0.0007488381233997643
PT_Metaverse,-1,12,160.25881958007812,0.6530609130859375,5.551527976989746
PT_Mindfulness-Based Stress Reduction,-1,12,38.89821243286133,0.07963752746582031,0.08254531770944595
PT_Mood Stabilizers,-1,12,127.9837417602539,0.340118408203125,1.5058225393295288
PT_Neurocognitive Training,-1,12,3.087324380874634,0.007864117622375488,0.0008049873868003488
PT_Neurofeedback Systems,-1,12,0.6690611243247986,0.0007130801677703857,6.619192390644457e-06
PT_Neuromodulation Techniques,-1,12,11.285609245300293,0.01679849624633789,0.003672634484246373
PT_Neuroprotective Agents,-1,12,10.008986473083496,0.005596160888671875,0.00040764285949990153
PT_Peer Support Programs & Online Communities,-1,12,0.011833141557872295,0.00011590542271733284,1.7484902059550222e-07
PT_Personalized Medicine,-1,12,150.84938049316406,0.5605010986328125,4.0885210037231445
PT_Privacy-Preserving AI in Digital Mental Health,-1,12,7.412715435028076,0.022249937057495117,0.006443219259381294
PT_Psychoeducation Programs,-1,12,2.5903351306915283,0.005457043647766113,0.0003875967813655734
PT_Psychophysiological Metrics for Treatment Response,-1,12,6.546265602111816,0.008362770080566406,0.0009102577459998429
PT_Regenerative Medicine Approaches,-1,12,3.2305591106414795,0.004884958267211914,0.0003105785872321576
PT_Resting-state Functional Magnetic Resonance Imaging,-1,12,30.325284957885742,0.1632404327392578,0.34681376814842224
PT_Selective Serotonin Reuptake Inhibitors,-1,12,41.94587707519531,0.19964218139648438,0.5187742710113525
PT_Social Skills Training,-1,12,0.20318064093589783,0.0006570741534233093,5.619366675091442e-06
PT_Stem Cell Therapy for Neurological Disorders,-1,12,7.5474395751953125,0.012168169021606445,0.0019273313228040934
PT_Traditional & Alternative Medicine Approaches,-1,12,52.8124885559082,0.11459732055664062,0.17093978822231293
PT_Transcranial Magnetic Stimulation,-1,12,85.57485961914062,0.07967376708984375,0.08258886635303497
PT_Trauma-Focused CBT,-1,12,8.464154243469238,0.010014057159423828,0.0013050598790869117
PT_Virtual Reality Exposure Therapy,-1,12,8.565366744995117,0.006549835205078125,0.0005584682803601027
PT_Voxel-based Lesion-Symptom Mapping,-1,12,0.6770028471946716,0.0039920806884765625,0.00020741994376294315
RMD_Anorexia nervosa,-1,12,106.13067626953125,0.09491348266601562,0.11725091189146042
RMD_Antisocial Personality Disorder,-1,12,58.08086013793945,0.06378173828125,0.05294211953878403
RMD_Autosarcophagy,-1,12,7.526064872741699,0.014843463897705078,0.002867592265829444
RMD_Avoidant Personality,-1,12,61.48406219482422,0.11661720275878906,0.17700669169425964
RMD_Boanthropy,-1,12,37.90679168701172,0.14248085021972656,0.26423197984695435
RMD_Body Integrity Dysphoria,-1,12,18.81197166442871,0.01401519775390625,0.0025566963013261557
RMD_Brief Psychotic,-1,12,55.019859313964844,0.09576416015625,0.1193331927061081
RMD_Capgras,-1,12,34.440181732177734,0.029329299926757812,0.011197724379599094
RMD_Childhood Disintegrative Disorder,-1,12,31.11956214904785,0.03200244903564453,0.013332735747098923
RMD_Circadian Rhythm Sleep-Wake,-1,12,2.0442941188812256,0.004003643989562988,0.00020862951350864023
RMD_Cyclothymic,-1,12,104.81523895263672,0.045360565185546875,0.02677982859313488
RMD_Delusional,-1,12,102.27909088134766,0.2444610595703125,0.7776906490325928
RMD_Dementia pugilistica,-1,12,25.16120147705078,0.16610050201416016,0.359075665473938
RMD_Diogenes,-1,12,49.55630111694336,0.030157089233398438,0.011836118996143341
RMD_Disinhibited Social Engagement,-1,12,10.72178840637207,0.040554046630859375,0.021405044943094254
RMD_Dissociative Fugue,-1,12,32.286766052246094,0.025117874145507812,0.008212057873606682
RMD_Ekbom,-1,12,62.551265716552734,0.07421493530273438,0.07169178128242493
RMD_Erotomanic,-1,12,36.058326721191406,0.06065559387207031,0.0478789322078228
RMD_Factitious,-1,12,101.25483703613281,0.067626953125,0.05954590439796448
RMD_Fregoli Delusion,-1,12,36.852176666259766,0.055591583251953125,0.040217623114585876
RMD_Ganser,-1,12,23.812631607055664,0.07038593292236328,0.06448448449373245
RMD_Hallucinogen-Induced Psychotic,-1,12,79.25714111328125,0.2886695861816406,1.0844523906707764
RMD_Histrionic Personality,-1,12,30.822341918945312,0.030303001403808594,0.011953430250287056
RMD_Hypergraphia,-1,12,14.556060791015625,0.030716896057128906,0.012279595248401165
RMD_Hyperthymesia,-1,12,87.01313781738281,0.3568115234375,1.656899094581604
RMD_Impulse Control,-1,12,23.920602798461914,0.026457786560058594,0.009109294041991234
RMD_Intermetamorphosis,-1,12,4.019913196563721,0.0074880123138427734,0.0007298038108274341
RMD_Kleine-Levin,-1,12,12.03311824798584,0.017009258270263672,0.0037656566128134727
RMD_Kleptomania,-1,12,63.590755462646484,0.05352973937988281,0.03730790689587593
RMD_Landau-Kleffner,-1,12,2.695209503173828,0.0056084394454956055,0.000409417727496475
RMD_Narcissistic Personality,-1,12,47.35398483276367,0.044429779052734375,0.025693265721201897
RMD_Olfactory Reference,-1,12,65.39409637451172,0.19492721557617188,0.4945230185985565
RMD_Othello,-1,12,58.79661560058594,0.07145309448242188,0.06645611673593521
RMD_Palilalia,-1,12,76.66124725341797,0.14134979248046875,0.25998005270957947
RMD_Paramnesia,-1,12,12.473177909851074,0.024294376373291016,0.007681003771722317
RMD_Postpartum Psychosis,-1,12,33.926937103271484,0.019319534301757812,0.004859501495957375
RMD_Psychogenic Amnesia,-1,12,74.34285736083984,0.0649566650390625,0.0548878088593483
RMD_Pyromania,-1,12,52.8427619934082,0.03505897521972656,0.0159946046769619
RMD_Reactive Attachment,-1,12,45.905235290527344,0.03651237487792969,0.0173496101051569
RMD_Reduplicative Paramnesia,-1,12,19.340669631958008,0.08261775970458984,0.0888398066163063
RMD_Rumination,-1,12,60.854888916015625,0.08329391479492188,0.09028028696775436
RMD_Savant,-1,12,94.47373962402344,0.08258438110351562,0.08878916501998901
RMD_Schizoaffective,-1,12,136.24154663085938,0.1416168212890625,0.26094141602516174
RMD_Schizotypal Personality,-1,12,38.66537094116211,0.04485321044921875,0.026189198717474937
RMD_Selective Mutism,-1,12,88.18991088867188,0.052310943603515625,0.03562426567077637
RMD_Stendhal,-1,12,52.24089431762695,0.05682945251464844,0.04204072430729866
RMD_Walking Corpse,-1,12,13.069061279296875,0.021397113800048828,0.005958919879049063
RMD_koro,-1,12,19.41918182373047,0.04618072509765625,0.027759727090597153
Global_Disaster_Total,0,1,33.85722732543945,0.007411956787109375,0.0007156527135521173
Global_Holidays_Average,0,1,1.2333446741104126,0.00039386749267578125,2.0195736851746915e-06
Global_Holidays_Total,0,1,44.225982666015625,0.011074066162109375,0.0015974701382219791
PT_Animal-Assisted Interventions,0,1,22.403100967407227,0.05668449401855469,0.0418243482708931
PT_Antidepressants,0,1,146.21678161621094,0.13323211669921875,0.23102805018424988
PT_Antipsychotic Medications,0,1,76.9671401977539,0.04509735107421875,0.026473984122276306
PT_Behavioral Activation Therapy,0,1,77.9631576538086,0.1942901611328125,0.49135568737983704
PT_Benzodiazepines,0,1,73.82986450195312,0.060016632080078125,0.04688872769474983
PT_Biofeedback Devices,0,1,1.3751987218856812,0.001514732837677002,2.9862436349503696e-05
PT_Brain Stimulation Technologies,0,1,0.42480695247650146,0.00279119610786438,0.00010139902587980032
PT_Brain-Computer Interface,0,1,27.934097290039062,0.019170761108398438,0.004783243406563997
PT_Cognitive Behavioral Therapy,0,1,58.193119049072266,0.05094718933105469,0.033767782151699066
PT_Cognitive Enhancement Programs,0,1,0.08091961592435837,0.00018160417675971985,4.292554649509839e-07
PT_Cognitive Technologies,0,1,28.89427375793457,0.057781219482421875,0.043453365564346313
PT_Creative Arts Therapies,0,1,22.778169631958008,0.044701576232910156,0.026006115600466728
PT_Dietary Interventions & Supplements,0,1,0.407333105802536,0.0006310194730758667,5.182149834581651e-06
PT_Digital Health Tools,0,1,67.15435791015625,0.17994308471679688,0.42149391770362854
PT_Digital Imaging Technologies for Brain Scanning,0,1,0.6481027007102966,0.0005167126655578613,3.475295898169861e-06
PT_Electroencephalography,0,1,58.107574462890625,0.19016265869140625,0.4706447422504425
PT_Exposure Therapy,0,1,21.242916107177734,0.031734466552734375,0.013105315156280994
PT_Expressive Writing & Journaling,0,1,2.592977285385132,0.0029741525650024414,0.00011513019126141444
PT_Eye Movement Desensitization and Reprocessing,0,1,10.079713821411133,0.012444496154785156,0.0020157834514975548
PT_Genetic Testing,0,1,11.095161437988281,0.01735973358154297,0.003922880161553621
PT_Interpersonal Psychotherapy,0,1,13.77234935760498,0.006392478942871094,0.0005316844908520579
PT_Meditation and Relaxation Techniques,0,1,6.6725873947143555,0.007981300354003906,0.0008290295372717083
PT_Metaverse,0,1,204.1375732421875,0.646575927734375,5.440568447113037
PT_Mindfulness-Based Stress Reduction,0,1,43.999507904052734,0.06693649291992188,0.05830809473991394
PT_Mood Stabilizers,0,1,155.10882568359375,0.34569549560546875,1.5553007125854492
PT_Neurocognitive Training,0,1,3.316534996032715,0.0063555240631103516,0.0005257345619611442
PT_Neurofeedback Systems,0,1,0.6920779943466187,0.0006889700889587402,6.177970590215409e-06
PT_Neuromodulation Techniques,0,1,12.18407917022705,0.015996456146240234,0.003330264473333955
PT_Neuroprotective Agents,0,1,10.577679634094238,0.006216526031494141,0.0005029311869293451
PT_Peer Support Programs & Online Communities,0,1,0.013956112787127495,5.819462239742279e-05,4.407770504144537e-08
PT_Personalized Medicine,0,1,175.8775177001953,0.40813446044921875,2.168227195739746
PT_Privacy-Preserving AI in Digital Mental Health,0,1,7.546938419342041,0.01761007308959961,0.004036158788949251
PT_Psychoeducation Programs,0,1,2.724482536315918,0.005285739898681641,0.00036364016705192626
PT_Psychophysiological Metrics for Treatment Response,0,1,7.464665412902832,0.009234905242919922,0.0011102425632998347
PT_Regenerative Medicine Approaches,0,1,3.551010847091675,0.004347801208496094,0.0002460307441651821
PT_Resting-state Functional Magnetic Resonance Imaging,0,1,35.59379959106445,0.14260482788085938,0.26469168066978455
PT_Selective Serotonin Reuptake Inhibitors,0,1,36.438533782958984,0.16245460510253906,0.34348824620246887
PT_Social Skills Training,0,1,0.20998282730579376,0.0005116462707519531,3.4071397294610506e-06
PT_Stem Cell Therapy for Neurological Disorders,0,1,8.1658935546875,0.012028217315673828,0.0018826554296538234
PT_Traditional & Alternative Medicine Approaches,0,1,75.78311920166016,0.14403533935546875,0.27002450823783875
PT_Transcranial Magnetic Stimulation,0,1,88.82229614257812,0.07593917846679688,0.0750955119729042
PT_Trauma-Focused CBT,0,1,9.857952117919922,0.011553764343261719,0.0017376274336129427
PT_Virtual Reality Exposure Therapy,0,1,8.87440299987793,0.0067729949951171875,0.0005971767823211849
PT_Voxel-based Lesion-Symptom Mapping,0,1,0.7123554348945618,0.0028775036334991455,0.00010776987619465217
RMD_Anorexia nervosa,0,1,107.50421905517578,0.08692169189453125,0.09828963875770569
RMD_Antisocial Personality Disorder,0,1,61.525997161865234,0.07003593444824219,0.06386460363864899
RMD_Autosarcophagy,0,1,8.24564266204834,0.013799190521240234,0.002478355774655938
RMD_Avoidant Personality,0,1,69.00836944580078,0.11887359619140625,0.18392355740070343
RMD_Boanthropy,0,1,41.88816452026367,0.14315414428710938,0.2667190134525299
RMD_Body Integrity Dysphoria,0,1,17.946056365966797,0.01224517822265625,0.0019515458261594176
RMD_Brief Psychotic,0,1,61.34376907348633,0.09566497802734375,0.11914213001728058
RMD_Capgras,0,1,38.020172119140625,0.03268241882324219,0.013902374543249607
RMD_Childhood Disintegrative Disorder,0,1,32.34857940673828,0.018342971801757812,0.00437755836173892
RMD_Circadian Rhythm Sleep-Wake,0,1,2.2142274379730225,0.0046198368072509766,0.00027779352967627347
RMD_Cyclothymic,0,1,105.80851745605469,0.051898956298828125,0.03507909178733826
RMD_Delusional,0,1,125.5728988647461,0.2963409423828125,1.1431559324264526
RMD_Dementia pugilistica,0,1,30.603580474853516,0.1716451644897461,0.3834731876850128
RMD_Diogenes,0,1,50.6373176574707,0.024682998657226562,0.007932494394481182
RMD_Disinhibited Social Engagement,0,1,13.701767921447754,0.05496501922607422,0.03931938111782074
RMD_Dissociative Fugue,0,1,33.842952728271484,0.024066925048828125,0.007539421785622835
RMD_Ekbom,0,1,65.19964599609375,0.07503128051757812,0.0732954815030098
RMD_Erotomanic,0,1,36.901817321777344,0.052989959716796875,0.0365474633872509
RMD_Factitious,0,1,104.00959777832031,0.05272674560546875,0.036215852946043015
RMD_Fregoli Delusion,0,1,35.50525665283203,0.0659637451171875,0.0566372275352478
RMD_Ganser,0,1,25.018756866455078,0.05895042419433594,0.045229099690914154
RMD_Hallucinogen-Induced Psychotic,0,1,86.71006774902344,0.3243408203125,1.3692415952682495
RMD_Histrionic Personality,0,1,31.6101131439209,0.02472400665283203,0.007957983762025833
