t,Global_Disaster_Total,Global_Holidays_Average,Global_Holidays_Total,PT_Animal-Assisted Interventions,PT_Antidepressants,PT_Antipsychotic Medications,PT_Behavioral Activation Therapy,PT_Benzodiazepines,PT_Biofeedback Devices,PT_Brain Stimulation Technologies,PT_Brain-Computer Interface,PT_Cognitive Behavioral Therapy,PT_Cognitive Enhancement Programs,PT_Cognitive Technologies,PT_Creative Arts Therapies,PT_Dietary Interventions & Supplements,PT_Digital Health Tools,PT_Digital Imaging Technologies for Brain Scanning,PT_Electroencephalography,PT_Exposure Therapy,PT_Expressive Writing & Journaling,PT_Eye Movement Desensitization and Reprocessing,PT_Genetic Testing,PT_Interpersonal Psychotherapy,PT_Meditation and Relaxation Techniques,PT_Metaverse,PT_Mindfulness-Based Stress Reduction,PT_Mood Stabilizers,PT_Neurocognitive Training,PT_Neurofeedback Systems,PT_Neuromodulation Techniques,PT_Neuroprotective Agents,PT_Peer Support Programs & Online Communities,PT_Personalized Medicine,PT_Privacy-Preserving AI in Digital Mental Health,PT_Psychoeducation Programs,PT_Psychophysiological Metrics for Treatment Response,PT_Regenerative Medicine Approaches,PT_Resting-state Functional Magnetic Resonance Imaging,PT_Selective Serotonin Reuptake Inhibitors,PT_Social Skills Training,PT_Stem Cell Therapy for Neurological Disorders,PT_Traditional & Alternative Medicine Approaches,PT_Transcranial Magnetic Stimulation,PT_Trauma-Focused CBT,PT_Virtual Reality Exposure Therapy,PT_Voxel-based Lesion-Symptom Mapping,RMD_Anorexia nervosa,RMD_Antisocial Personality Disorder,RMD_Autosarcophagy,RMD_Avoidant Personality,RMD_Boanthropy,RMD_Body Integrity Dysphoria,RMD_Brief Psychotic,RMD_Capgras,RMD_Childhood Disintegrative Disorder,RMD_Circadian Rhythm Sleep-Wake,RMD_Cyclothymic,RMD_Delusional,RMD_Dementia pugilistica,RMD_Diogenes,RMD_Disinhibited Social Engagement,RMD_Dissociative Fugue,RMD_Ekbom,RMD_Erotomanic,RMD_Factitious,RMD_Fregoli Delusion,RMD_Ganser,RMD_Hallucinogen-Induced Psychotic,RMD_Histrionic Personality,RMD_Hypergraphia,RMD_Hyperthymesia,RMD_Impulse Control,RMD_Intermetamorphosis,RMD_Kleine-Levin,RMD_Kleptomania,RMD_Landau-Kleffner,RMD_Narcissistic Personality,RMD_Olfactory Reference,RMD_Othello,RMD_Palilalia,RMD_Paramnesia,RMD_Postpartum Psychosis,RMD_Psychogenic Amnesia,RMD_Pyromania,RMD_Reactive Attachment,RMD_Reduplicative Paramnesia,RMD_Rumination,RMD_Savant,RMD_Schizoaffective,RMD_Schizotypal Personality,RMD_Selective Mutism,RMD_Stendhal,RMD_Walking Corpse,RMD_koro
-001-12,33.26950645446777,1.225411057472229,43.98753547668457,21.574193000793457,140.9340362548828,73.70644760131836,64.62494659423828,69.22776412963867,1.3355746269226074,0.4827117472887039,28.895697593688965,53.60625457763672,0.07777249068021774,29.37869358062744,20.18035888671875,0.30205756425857544,61.16898727416992,0.6254485547542572,65.31340408325195,18.61440086364746,2.4277673959732056,9.799267292022705,10.566492080688477,13.630595684051514,5.8049657344818115,160.91188049316406,38.97784996032715,128.32386016845703,3.0951884984970093,0.669774204492569,11.30240774154663,10.014582633972168,0.011949046980589628,151.40988159179688,7.434965372085571,2.5957921743392944,6.554628372192383,3.2354440689086914,30.488525390625,42.1455192565918,0.20383771508932114,7.559607744216919,52.927085876464844,85.65453338623047,8.474168300628662,8.571916580200195,0.6809949278831482,106.22558975219727,58.1446418762207,7.540908336639404,61.60067939758301,38.049272537231445,18.825986862182617,55.115623474121094,34.46951103210449,31.151564598083496,2.0482977628707886,104.86059951782227,102.52355194091797,25.32730197906494,49.58645820617676,10.76234245300293,32.3118839263916,62.62548065185547,36.11898231506348,101.32246398925781,36.90776824951172,23.883017539978027,79.54581069946289,30.85264492034912,14.586777687072754,87.36994934082031,23.947060585021973,4.0274012088775635,12.050127506256104,63.64428520202637,2.7008179426193237,47.398414611816406,65.58902359008789,58.86806869506836,76.80259704589844,12.497472286224365,33.94625663757324,74.4078140258789,52.87782096862793,45.94174766540527,19.423287391662598,60.93818283081055,94.55632400512695,136.38316345214844,38.71022415161133,88.24222183227539,52.2977237701416,13.090458393096924,19.465362548828125
0000-01,33.86463928222656,1.2337385416030884,44.237056732177734,22.45978546142578,146.35001373291016,77.01223754882812,78.1574478149414,73.8898811340332,1.3767134547233582,0.42759814858436584,27.95326805114746,58.24406623840332,0.08110122010111809,28.952054977416992,22.822871208190918,0.4079641252756119,67.33430099487305,0.6486194133758545,58.29773712158203,21.27465057373047,2.5959514379501343,10.092158317565918,11.112521171569824,13.778741836547852,6.680568695068359,204.78414916992188,44.066444396972656,155.45452117919922,3.322890520095825,0.6927669644355774,12.200075626373291,10.583896160125732,0.014014307409524918,176.28565216064453,7.564548492431641,2.7297682762145996,7.473900318145752,3.555358648300171,35.73640441894531,36.60098838806152,0.21049447357654572,8.177921772003174,75.92715454101562,88.89823532104492,9.869505882263184,8.881175994873047,0.7152329385280609,107.59114074707031,61.59603309631348,8.25944185256958,69.12724304199219,42.03131866455078,17.958301544189453,61.43943405151367,38.05285453796387,32.36692237854004,2.2188472747802734,105.86041641235352,125.8692398071289,30.77522563934326,50.66200065612793,13.756732940673828,33.86701965332031,65.27467727661133,36.95480728149414,104.06232452392578,35.57122039794922,25.077707290649414,87.03440856933594,31.63483715057373,15.096142292022705,100.1146354675293,23.54177761077881,4.365283489227295,13.744606018066406,63.892080307006836,2.713749051094055,56.35300636291504,78.00349426269531,61.25840187072754,75.9517707824707,14.299246311187744,35.80867958068848,79.6479721069336,53.823486328125,43.90660095214844,22.94670009613037,66.31394958496094,88.97204971313477,145.5461883544922,45.628875732421875,91.63560104370117,53.73443412780762,14.07248592376709,22.518274307250977
0000-02,34.26158905029297,1.2431036233901978,44.5999755859375,29.407381057739258,151.42215728759766,77.24197006225586,85.00120544433594,75.48522186279297,1.3920599818229675,0.5102148950099945,31.68503475189209,68.02395248413086,0.09897749125957489,25.479268074035645,21.585609436035156,0.4767482727766037,83.91781616210938,0.6416796743869781,52.877702713012695,19.894526481628418,2.520543932914734,10.250463008880615,11.398069858551025,14.850803852081299,5.938104152679443,222.8804473876953,40.976938247680664,180.74419403076172,3.10443913936615,0.6979759633541107,12.626364707946777,10.419677257537842,0.013949701096862555,151.73455047607422,8.704630851745605,2.5946351289749146,7.477759838104248,3.2706013917922974,29.05094051361084,42.07503318786621,0.2989209443330765,8.32604169845581,61.53410720825195,100.16667938232422,9.453119277954102,9.121370792388916,0.880293071269989,98.5104866027832,60.95529556274414,7.686232328414917,72.6937255859375,41.32840919494629,18.427858352661133,61.5895938873291,38.43568229675293,30.702372550964355,2.2870240211486816,103.02201843261719,120.99187088012695,24.301548957824707,53.61886024475098,14.185697078704834,35.845237731933594,64.14350509643555,36.656944274902344,104.48805236816406,30.673914909362793,22.18153667449951,83.21406555175781,31.16551971435547,14.126398086547852,84.1441879272461,23.692378044128418,4.815615653991699,14.25614595413208,63.671932220458984,2.6297190189361572,63.68888282775879,65.17047119140625,54.24556541442871,73.65079116821289,14.7347993850708,36.29665946960449,81.3503532409668,51.23521423339844,48.47447204589844,20.215149879455566,69.4458236694336,89.07935333251953,151.62356567382812,44.74323654174805,93.50605010986328,59.66008949279785,14.149147033691406,23.107240676879883
0000-03,32.88276672363281,1.2147564888000488,43.64509201049805,18.50434970855713,125.74684524536133,65.79373550415039,29.522164344787598,63.7899169921875,1.2085249423980713,0.4797479063272476,24.887635231018066,60.35797882080078,0.06973075121641159,24.47180938720703,13.877743244171143,0.33683426678180695,39.83575630187988,0.5710694491863251,42.63252258300781,13.694180965423584,1.955924928188324,9.377881050109863,9.503108501434326,13.505906105041504,4.830993413925171,80.00879669189453,41.794857025146484,82.10335922241211,2.724375605583191,0.5926529765129089,8.899947166442871,10.172438621520996,0.00528980465605855,161.11392974853516,5.028810262680054,2.157912254333496,5.353803634643555,3.484815001487732,31.55537509918213,39.29410743713379,0.18826714158058167,5.963388919830322,36.02006721496582,88.41748428344727,6.754388332366943,8.791045665740967,0.8411737382411957,89.04142379760742,59.483028411865234,6.1353919506073,46.83431434631348,35.513872146606445,18.743542671203613,55.89286231994629,32.06922912597656,28.397521018981934,2.109584331512451,98.00689697265625,69.04464340209961,23.25065040588379,44.42729949951172,11.731414794921875,30.960529327392578,55.90937614440918,29.953454971313477,90.41527557373047,30.860279083251953,21.59956169128418,65.22770309448242,28.74346160888672,15.507616996765137,72.75940704345703,20.768573760986328,3.6981781721115112,10.112149238586426,59.994577407836914,2.7053052186965942,45.74643516540527,60.08823013305664,55.31417655944824,62.73447227478027,7.991123199462891,30.220364570617676,64.84996032714844,50.7489013671875,43.41963768005371,18.852394104003906,52.64902877807617,85.4880142211914,119.68461990356445,32.27695083618164,81.84583282470703,45.1396598815918,10.945799827575684,18.13265323638916
0000-04,33.25600624084473,1.2507520914077759,44.795780181884766,25.152419090270996,152.30987548828125,76.90475845336914,69.30767440795898,75.42333221435547,1.4036144614219666,0.5605994462966919,28.05584716796875,66.063232421875,0.09679429233074188,31.488200187683105,23.443392753601074,0.35795052349567413,82.9547233581543,0.659816563129425,74.0285758972168,21.362454414367676,2.614640712738037,10.579201698303223,10.82533597946167,13.929010391235352,6.375438928604126,184.35848999023438,38.73067665100098,146.3644790649414,3.5099167823791504,0.7252877950668335,12.106634616851807,10.490042686462402,0.013145782519131899,166.02527618408203,7.050980091094971,2.5063369274139404,7.271986961364746,3.238118052482605,27.582481384277344,53.4319953918457,0.29954811930656433,8.792685508728027,68.16706848144531,88.50299453735352,9.865233421325684,9.214603900909424,0.9501400589942932,120.20684432983398,60.81583023071289,8.44223928451538,70.88972854614258,38.26519012451172,19.81525993347168,58.86412048339844,38.463069915771484,31.02014446258545,2.1100863218307495,110.8548583984375,123.35813522338867,32.06012439727783,50.78895568847656,12.360301971435547,34.20490646362305,67.0113525390625,39.09800720214844,106.68975067138672,43.96835136413574,27.739466667175293,94.69950485229492,30.90798568725586,16.50003433227539,107.47516632080078,25.592018127441406,4.4572999477386475,13.634862899780273,68.51916122436523,3.025261640548706,57.06525421142578,77.69121932983398,65.10602188110352,83.76640319824219,13.855484008789062,35.530107498168945,78.29638671875,56.562808990478516,49.797414779663086,23.10708713531494,67.64436340332031,99.53059005737305,151.2184829711914,43.28554725646973,91.17361450195312,54.44284629821777,14.942121505737305,17.86568546295166
0000-05,33.809242248535156,1.24412602186203,44.535133361816406,17.89873504638672,122.09286117553711,70.40568923950195,39.799734115600586,61.46205711364746,1.1595911979675293,0.42616093158721924,28.083502769470215,71.00975799560547,0.06756071001291275,18.80471706390381,16.20902919769287,0.33102767169475555,36.04280090332031,0.548292487859726,45.425052642822266,13.959344387054443,2.054969549179077,7.953985691070557,8.883823871612549,14.485276699066162,4.568384408950806,110.53079986572266,36.73810005187988,105.22183227539062,2.3835248947143555,0.5903172791004181,9.361687183380127,10.602595329284668,0.01249191677197814,128.275390625,5.56291389465332,2.2674918174743652,5.352301359176636,2.862666368484497,23.64701271057129,29.141176223754883,0.23720616102218628,6.696584224700928,37.41610336303711,89.16561126708984,6.50839638710022,8.110478401184082,0.8956520855426788,91.08173751831055,59.49441146850586,5.580291032791138,48.657249450683594,29.858330726623535,18.387269973754883,53.46829795837402,31.092625617980957,30.12849521636963,1.905643105506897,100.63571548461914,71.70013427734375,21.07869815826416,45.456708908081055,8.765228271484375,30.355119705200195,56.328033447265625,35.95294761657715,95.49385070800781,29.30598545074463,22.636455535888672,56.803205490112305,28.01164722442627,12.443556308746338,57.983083724975586,22.713821411132812,3.5984742641448975,10.060689449310303,63.42263603210449,2.5508540868759155,51.3619270324707,45.11939239501953,50.29100227355957,63.23404121398926,8.022043704986572,30.87184715270996,67.48646545410156,50.20742416381836,46.2614803314209,19.519295692443848,49.794090270996094,76.19087219238281,119.38985824584961,33.99338722229004,83.07623672485352,49.009315490722656,10.175667762756348,20.318025588989258
0000-06,34.38525390625,1.276749610900879,45.78045082092285,12.391528606414795,108.31311416625977,64.16071319580078,21.070683479309082,53.57350730895996,1.0341495871543884,0.7169840037822723,23.693817138671875,68.09769058227539,0.07057835161685944,16.668136596679688,11.588984489440918,0.32156550884246826,26.25006866455078,0.4588489830493927,35.63667106628418,10.630992889404297,1.601584255695343,8.63025712966919,7.360178470611572,15.40761423110962,3.7069331407546997,68.59249114990234,36.19811248779297,89.89970016479492,2.2103832960128784,0.5299282968044281,7.789257287979126,10.959238052368164,0.012561534997075796,137.57730865478516,4.363529920578003,1.9220366477966309,4.108508110046387,2.928316831588745,21.101027488708496,30.012630462646484,0.2728070169687271,4.879410028457642,24.135961532592773,100.29326248168945,5.31180739402771,7.696984529495239,1.210438847541809,81.41210556030273,66.05425262451172,4.471194744110107,38.9765510559082,26.953174591064453,19.021559715270996,50.64275550842285,28.139416694641113,28.807573318481445,1.725313127040863,97.12185287475586,50.66014289855957,25.100335121154785,42.68528747558594,7.789859056472778,27.525362968444824,51.59880065917969,32.32520866394043,87.2759017944336,25.859726905822754,22.093692779541016,46.62782096862793,26.73979091644287,15.085826873779297,52.196123123168945,20.812557220458984,2.9808961153030396,8.434866428375244,61.91324043273926,2.5407825708389282,57.398983001708984,42.92935562133789,51.67156791687012,55.7425594329834,4.922684192657471,28.507312774658203,60.4223747253418,50.12277793884277,48.14327430725098,22.574899673461914,42.11284255981445,72.15682983398438,107.37163543701172,27.71236801147461,78.4640007019043,44.17748832702637,9.204741954803467,16.984603881835938
0000-07,34.05455207824707,1.2319519519805908,44.16928482055664,16.675536155700684,131.17247009277344,78.13418960571289,59.80741882324219,67.90453338623047,1.2337597608566284,0.5764089226722717,25.558314323425293,55.67424774169922,0.08592988923192024,24.876001358032227,19.543048858642578,0.39514216780662537,57.81139373779297,0.5853303074836731,51.39990997314453,20.597867965698242,2.481467843055725,9.829944610595703,8.741764545440674,14.251290321350098,5.90303373336792,180.4568634033203,38.64483642578125,171.00599670410156,2.824100971221924,0.6528456211090088,10.68739938735962,10.11851978302002,0.011413407512009144,146.7820816040039,8.190119743347168,2.3510377407073975,6.5885725021362305,3.274670720100403,25.98484230041504,49.817325592041016,0.27755703032016754,6.973879098892212,66.23067092895508,95.92398452758789,8.435620784759521,8.507987976074219,0.8464628756046295,113.96286010742188,61.05129051208496,8.342399597167969,60.720062255859375,33.773433685302734,18.17738437652588,56.95851707458496,35.5047664642334,32.15062141418457,1.9872381091117859,107.00050354003906,103.6283950805664,28.297439575195312,48.63247489929199,10.3555006980896,30.90152645111084,64.31582260131836,37.978708267211914,104.44198989868164,37.47607612609863,26.11568260192871,72.86275482177734,31.2259521484375,16.48581314086914,83.43215560913086,24.30006504058838,3.7122098207473755,12.50998067855835,64.60653305053711,2.5088095664978027,55.8995246887207,65.05181884765625,61.011390686035156,73.4508171081543,12.333285331726074,34.70305633544922,76.38309478759766,54.49110412597656,46.837730407714844,20.951496124267578,60.20977973937988,91.76075744628906,138.68011474609375,41.936317443847656,88.57711410522461,50.398155212402344,12.559671401977539,21.991853713989258
0000-08,33.369937896728516,1.221194565296173,43.87769889831543,15.453162670135498,119.91091537475586,68.95095825195312,37.38132667541504,60.38991355895996,1.1567839980125427,0.5049475282430649,26.259166717529297,67.3073959350586,0.0616060309112072,20.785725593566895,16.51152992248535,0.2666865587234497,37.88460731506348,0.5702487826347351,30.758431434631348,13.727516174316406,1.8560875058174133,8.798473358154297,9.239822387695312,13.723056316375732,4.4980082511901855,128.86644744873047,37.156070709228516,123.64413452148438,2.531422257423401,0.6047912240028381,9.871501922607422,10.305699348449707,0.012783599086105824,156.62744140625,6.989948034286499,2.6278820037841797,5.4674341678619385,3.298325538635254,27.83704662322998,24.150840759277344,0.22623588889837265,6.26613187789917,32.775529861450195,85.18011474609375,6.431835412979126,8.3486328125,0.8450123071670532,81.57042694091797,62.785194396972656,6.201883316040039,49.618478775024414,35.1884765625,17.818593978881836,52.643930435180664,32.08411979675293,30.84922695159912,1.9791234135627747,96.24677276611328,76.7811393737793,27.83164691925049,47.337074279785156,9.895403861999512,29.939292907714844,56.27295112609863,32.907331466674805,91.87549209594727,25.17215633392334,21.882216453552246,63.03224563598633,29.70504379272461,11.909528255462646,71.1427993774414,21.41223907470703,3.375931143760681,10.817328453063965,59.506385803222656,2.3957934379577637,49.810956954956055,58.80793762207031,48.90325164794922,66.18818664550781,7.937313795089722,31.259751319885254,68.86999893188477,49.58409881591797,44.402997970581055,21.392696380615234,51.26998710632324,79.71203994750977,122.52340316772461,33.63712692260742,84.12334060668945,49.73345375061035,10.987298011779785,17.60297966003418
0000-09,33.89863395690918,1.245580792427063,44.656084060668945,15.834315299987793,132.21888732910156,68.63454055786133,40.857954025268555,65.82247543334961,1.196153998374939,0.5942902266979218,25.576088905334473,64.17792129516602,0.0814555324614048,26.496010780334473,16.439894676208496,0.377694234251976,49.69339370727539,0.5367690920829773,79.67547607421875,15.813173770904541,2.1334385871887207,10.402048110961914,9.230191707611084,13.911149024963379,5.1639063358306885,84.07463455200195,37.97115516662598,78.91083145141602,3.046715497970581,0.6008372008800507,9.197417259216309,10.83051872253418,0.011588963214308023,147.45581817626953,4.050463438034058,2.065088391304016,5.719648838043213,3.056541919708252,24.939248085021973,62.21819496154785,0.26411378383636475,6.61346697807312,46.00811576843262,91.86975479125977,7.512157440185547,8.287222862243652,0.9384968876838684,103.15966415405273,61.876949310302734,6.655609846115112,51.79635238647461,30.294257164001465,18.38578510284424,52.88836479187012,33.43906211853027,29.116641998291016,1.8498883247375488,104.55680084228516,81.21278381347656,27.104987144470215,44.49214744567871,9.341152667999268,30.62101459503174,59.157684326171875,33.64594078063965,95.55769729614258,39.06681251525879,23.32784938812256,66.42602157592773,28.507441520690918,16.13386631011963,73.33460235595703,22.809138298034668,3.384516954421997,10.650891780853271,63.35136604309082,2.96055269241333,58.237436294555664,57.54914855957031,68.30344009399414,68.50818252563477,9.618578433990479,31.60963249206543,67.17627716064453,55.481184005737305,47.07354164123535,19.690308570861816,52.880950927734375,92.63643646240234,127.7162857055664,35.6864128112793,83.59036636352539,44.3832950592041,11.766162872314453,19.87227153778076
