node,category,horizon,window_index,t_index,forecast,ci_95,lower,upper,actual
Global_Disaster_Total,Other,1,0,249,35.031307220458984,0.1063385009765625,34.925132751464844,35.13780975341797,37.164363861083984
Global_Holidays_Average,Other,1,0,249,1.239967703819275,0.0043585896492004395,1.235613465309143,1.244330644607544,1.1670454740524292
Global_Holidays_Total,Other,1,0,249,44.56135177612305,0.17473793029785156,44.3869514465332,44.736427307128906,42.003326416015625
PT_Animal-Assisted Interventions,PT,1,0,249,4.031946182250977,0.06500482559204102,3.9673609733581543,4.097370624542236,11.913220405578613
PT_Antidepressants,PT,1,0,249,73.74822998046875,0.6876640319824219,73.06372833251953,74.43905639648438,94.72491455078125
PT_Antipsychotic Medications,PT,1,0,249,50.752532958984375,0.3039989471435547,50.449432373046875,51.057430267333984,70.1819839477539
PT_Behavioral Activation Therapy,PT,1,0,249,3.44126033782959,0.03023970127105713,3.411123514175415,3.4716029167175293,23.610029220581055
PT_Benzodiazepines,PT,1,0,249,37.39189910888672,0.28468894958496094,37.1082649230957,37.677642822265625,55.57416915893555
PT_Biofeedback Devices,PT,1,0,249,0.6596492528915405,0.00916445255279541,0.6505100727081299,0.6688389778137207,1.2066899538040161
PT_Brain Stimulation Technologies,PT,1,0,249,0.6756206154823303,0.054206669330596924,0.6222905516624451,0.7307038903236389,1.1630693674087524
PT_Brain-Computer Interface,PT,1,0,249,17.462081909179688,0.10880184173583984,17.353601455688477,17.571205139160156,16.504484176635742
PT_Cognitive Behavioral Therapy,PT,1,0,249,72.56877136230469,0.7860069274902344,71.78697967529297,73.35899353027344,44.88357925415039
PT_Cognitive Enhancement Programs,PT,1,0,249,0.011845878325402737,0.0023797196336090565,0.009468956850469112,0.014228396117687225,0.014198986813426018
PT_Cognitive Technologies,PT,1,0,249,8.184268951416016,0.3498246669769287,7.8411030769348145,8.540752410888672,14.563606262207031
PT_Creative Arts Therapies,PT,1,0,249,4.721498489379883,0.03661942481994629,4.684996604919434,4.758235454559326,13.15995979309082
PT_Dietary Interventions & Supplements,PT,1,0,249,0.17154817283153534,0.0036018341779708862,0.16795188188552856,0.17515555024147034,0.2045585662126541
