rmd_name,burden_raw,burden_log1p,burden_norm
Anorexia Nervosa,386.70333638888883,5.9602404502341,0.932085956840606
Antisocial Personality Disorder,584.6672524999999,6.372751799803063,0.9999999996707288
Autosarcophagy,1.1730295055555555,0.7761222794405329,0.0785956859533233
Avoidant Personality Disorder,27.262531861111114,3.341536964931577,0.5009542053238017
Boanthropy,8.346498097222222,2.2350017380883767,0.31877914306819816
Body Integrity Dysphoria,30.91909638888889,3.463204463562142,0.5209850038016234
Brief Psychotic Disorder,2.6005531694444444,1.2810874918368678,0.1617309235613095
Capgras Syndrome,17.13754816666666,2.897984273846568,0.4279296534145274
Childhood Disintegrative Disorder,26.54021847222222,3.315647426174716,0.49669186624919737
Chronic Traumatic Encephalopathy,302.5647955555555,5.71559508212985,0.8918086262290137
Circadian Rhythm Sleep Wake Disorder,2.851749166666666,1.348527374127849,0.1728339272947921
Cotard Syndrome,5.751813702777778,1.909811165499762,0.26524120648096927
Cyclothymic Disorder,121.21911541666665,4.805815461808984,0.74202653619681
Delusional Disorder,2.052707702777778,1.1160289681859126,0.13455641877151148
Diogenes Syndrome,4.784250477777778,1.7551387892054313,0.23977663102318794
Disinhibited Social Engagement Disorder,7.004641386111111,2.0800215467082843,0.29326389029707745
Dissociative Amnesia,4.897474736111111,1.774524248460269,0.24296816723544082
Dissociative Fugue,29.244814472222217,3.4093247473764734,0.5121144857988292
Ekbom Syndrome,46.926150416666665,3.8696612931645573,0.5879022572615784
Erotomania,34.875337944444446,3.5800500940896174,0.5402219512563965
Factitious Disorder,124.91440972222222,4.835602388212033,0.7469305239237615
Fregoli Delusion,2.4338518055555554,1.2336826064932784,0.15392639305094746
Ganser Syndrome,18.11314008333333,2.9503760609930634,0.4365552053658414
Hallucinogen Persisting Perception Disorder,103.14094408333334,4.645745213214435,0.7156732789343424
Histrionic Personality Disorder,31.11906675,3.4694498335506,0.5220132138747021
Hypergraphia,7.517105574999999,2.1420765618787585,0.3034803533411008
Hyperthymesia,36.03537577777777,3.6118735579718373,0.5454612255002645
Impulse Control Disorders,120.98339311111113,4.803884913427738,0.7417086992558711
Intermetamorphosis Syndrome,0.34814611555555547,0.2987304009449216,0.0
Kleine Levin Syndrome,10.788861777777779,2.467155168563826,0.35699985635752746
Kleptomania,36.36031811111111,3.6206091280757597,0.546899411098802
Koro,3.0461359499999996,1.3977623392685437,0.18093975404307105
Landau Kleffner Syndrome,9.446868152777776,2.3463022351935328,0.3371031642989155
Narcissistic Personality Disorder,193.80367083333334,5.271992235144507,0.8187758168742969
Olfactory Reference Syndrome,79.58986650000001,4.38937291580198,0.673465278584486
Othello Syndrome,14.427003166666667,2.736119426297602,0.4012809413230458
Palilalia,4.3059457666666665,1.6688280345300035,0.22556681038224752
Postpartum Psychosis,18.355430472222217,2.9629730246617605,0.4386291137104708
Pyromania,20.139737166666666,3.0511545473783617,0.4531469293217465
Reactive Attachment Disorder,111.61043883333333,4.72393441863175,0.7285460036511614
Reduplicative Paramnesia,2.8887225250000004,1.3580807039524203,0.1744067452343571
Rumination Disorder,75.13793336111112,4.332546607968583,0.6641096467743366
Savant Syndrome,24.434911083333333,3.236122682429551,0.4835992644131337
Schizoaffective Disorder,67.45283819444445,4.226145014635918,0.6465921593783204
Schizotypal Personality Disorder,128.43611819444445,4.863187463633397,0.7514720086504151
Selective Mutism,34.892093499999994,3.5805170344697523,0.5402988262539177
Stendhal Syndrome,4.577768297222223,1.7187887496588246,0.23379212139642383
Wendigo Psychosis,1.4143245722222224,0.8814195677474786,0.09593136545752612
