src,dst,weight,uncertainty_corr,amplification_ratio,amplification_ratio_floored,log10_amplification_ratio_floored,src_variance_floored,amplification_floor_applied,src_mean_variance,dst_mean_variance
Global_Disaster_Total,RMD_Psychogenic Amnesia,0.5,-0.14687164244305267,55.72210693359375,55.72210693359375,1.7460275293659602,0.0007633797358721495,0,0.0007633797358721495,0.04253712669014931
Global_Disaster_Total,RMD_Pyromania,0.5,-0.09210707152231572,21.626317977905273,21.626317977905273,1.3349825842565979,0.0007633797358721495,0,0.0007633797358721495,0.01650909334421158
Global_Disaster_Total,RMD_Reactive Attachment,0.5,0.10642323227846644,24.070371627807617,24.070371627807617,1.381482795495647,0.0007633797358721495,0,0.0007633797358721495,0.018374834209680557
Global_Disaster_Total,RMD_Reduplicative Paramnesia,0.5,0.1799710611009922,83.65941619873047,83.65941619873047,1.9225148296140289,0.0007633797358721495,0,0.0007633797358721495,0.06386390328407288
Global_Disaster_Total,RMD_Rumination,0.5,0.10978927244655308,93.19352722167969,93.19352722167969,1.96938574937622,0.0007633797358721495,0,0.0007633797358721495,0.0711420476436615
Global_Disaster_Total,RMD_Schizoaffective,0.5,0.1291228392243845,276.4841613769531,276.4841613769531,2.441670257435978,0.0007633797358721495,0,0.0007633797358721495,0.21106241643428802
Global_Disaster_Total,RMD_Schizotypal Personality,0.5,-0.008761509903631502,28.220382690429688,28.220382690429688,1.4505628988306247,0.0007633797358721495,0,0.0007633797358721495,0.0215428676456213
Global_Disaster_Total,RMD_Selective Mutism,0.5,-0.009515574051058236,30.630109786987305,30.630109786987305,1.486148553443769,0.0007633797358721495,0,0.0007633797358721495,0.023382404819130898
Global_Disaster_Total,RMD_Stendhal,0.5,0.059821155834747196,49.08572769165039,49.08572769165039,1.690955233756307,0.0007633797358721495,0,0.0007633797358721495,0.03747104853391647
Global_Disaster_Total,RMD_Walking Corpse,0.5,0.021675392139946164,7.57096529006958,7.57096529006958,0.8791512551175702,0.0007633797358721495,0,0.0007633797358721495,0.00577952153980732
Global_Disaster_Total,RMD_koro,0.5,0.06945981884664917,28.175098419189453,28.175098419189453,1.4498654417664578,0.0007633797358721495,0,0.0007633797358721495,0.021508298814296722
Global_Holidays_Average,RMD_Psychogenic Amnesia,0.5,0.10248045229513465,20413.162109375,8991.048828125,3.9538103562158207,4.7310518311860505e-06,1,2.0838078853557818e-06,0.04253712669014931
Global_Holidays_Average,RMD_Pyromania,0.5,-0.11517297387023283,7922.556640625,3489.517822265625,3.5427654207710733,4.7310518311860505e-06,1,2.0838078853557818e-06,0.01650909334421158
Global_Holidays_Average,RMD_Reactive Attachment,0.5,-0.1812964410214125,8817.908203125,3883.87841796875,3.5892656261711546,4.7310518311860505e-06,1,2.0838078853557818e-06,0.018374834209680557
Global_Holidays_Average,RMD_Reduplicative Paramnesia,0.5,-0.03898922526226977,30647.6796875,13498.8779296875,4.130297670035909,4.7310518311860505e-06,1,2.0838078853557818e-06,0.06386390328407288
Global_Holidays_Average,RMD_Rumination,0.5,0.19293985940897165,34140.390625,15037.2548828125,4.17716856111867,4.7310518311860505e-06,1,2.0838078853557818e-06,0.0711420476436615
Global_Holidays_Average,RMD_Schizoaffective,0.5,0.05029779045546558,101286.84375,44612.14453125,4.6494531005270305,4.7310518311860505e-06,1,2.0838078853557818e-06,0.21106241643428802
Global_Holidays_Average,RMD_Schizotypal Personality,0.5,0.11041056553738772,10338.216796875,4553.50390625,3.658345713474087,4.7310518311860505e-06,1,2.0838078853557818e-06,0.0215428676456213
Global_Holidays_Average,RMD_Selective Mutism,0.5,0.08623457402380715,11220.9931640625,4942.326171875,3.6939314035450304,4.7310518311860505e-06,1,2.0838078853557818e-06,0.023382404819130898
Global_Holidays_Average,RMD_Stendhal,0.5,0.04244291644211188,17982.0,7920.23486328125,3.8987380601645825,4.7310518311860505e-06,1,2.0838078853557818e-06,0.03747104853391647
Global_Holidays_Average,RMD_Walking Corpse,0.5,0.1072277132149919,2773.537353515625,1221.6142578125,3.0869340928541584,4.7310518311860505e-06,1,2.0838078853557818e-06,0.00577952153980732
Global_Holidays_Average,RMD_koro,0.5,0.2789420194717697,10321.6279296875,4546.197265625,3.657648276420558,4.7310518311860505e-06,1,2.0838078853557818e-06,0.021508298814296722
Global_Holidays_Total,RMD_Psychogenic Amnesia,0.5,-0.1453973662216334,18.13054847717285,18.13054847717285,1.258410942374969,0.002346157794818282,0,0.002346157794818282,0.04253712669014931
Global_Holidays_Total,RMD_Pyromania,0.5,-0.12873176802402708,7.036650657653809,7.036650657653809,0.8473659905301274,0.002346157794818282,0,0.002346157794818282,0.01650909334421158
