split,group,RAE,RSE,Corr
production,Overall,0.1997872414283985,0.32978294589191276,0.9466727421384599
production,NoM,0.1997872414283985,0.32978294589191265,0.946672742138461
production,TDB,0.38291724879260447,0.6022159631314641,0.802957925967085
production,PT_NoM,0.11441409626634322,0.193583740022118,0.9834085336593422
