RMD_Disinhibited Social Engagement Disorder_NoM,PT_Personalized Medicine_NoM,PT_Narrative Exposure Therapy_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Art Therapy_NoM,PT_Anticonvulsant Therapy_NoM,PT_Electroconvulsive Therapy_NoM,PT_Naltrexone_NoM,PT_Music Therapy_NoM
RMD_Dissociative Amnesia_NoM,PT_Electroencephalography_NoM,PT_Resting State Fmri_NoM,PT_Digital Health Tools_NoM,PT_Metaverse_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Antidepressants_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Mood Stabilizers_NoM
RMD_Dissociative Fugue_NoM,PT_Personalized Medicine_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Neuroprotective Agents_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Electroconvulsive Therapy_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Hypnotherapy_NoM
RMD_Ekbom Syndrome_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Secure Data Storage For Patient Records_NoM,PT_Neurofeedback Systems_NoM,PT_Social Skills Training_NoM,PT_Augmentative Communication Devices_NoM,PT_Lithium Therapy_NoM,PT_Memory Retrieval Techniques_NoM,PT_Digital Phenotyping_NoM
RMD_Erotomania_NoM,PT_Neuroprotective Agents_NoM,PT_Digital Therapeutics_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Occupational Therapy_NoM,PT_Hypnotherapy_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Motivational Interviewing_NoM,PT_Digital Phenotyping_NoM
RMD_Factitious Disorder_NoM,PT_Electroconvulsive Therapy_NoM,PT_Personalized Medicine_NoM,PT_Naltrexone_NoM,PT_Neuroprotective Agents_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Animal Assisted Therapy_NoM,PT_Transference Focused Psychotherapy_NoM
RMD_Fregoli Delusion_NoM,PT_Mentalization Based Treatment_NoM,PT_Naltrexone_NoM,PT_Hypnotherapy_NoM,PT_Social Skills Training_NoM,PT_Electroconvulsive Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Cbt For Insomnia_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM
RMD_Ganser Syndrome_NoM,PT_Social Skills Training_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Deep Brain Stimulation_NoM,PT_Cbt For Insomnia_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Hypnotherapy_NoM,PT_Fecal Microbiota Transplant_NoM
RMD_Hallucinogen Persisting Perception Disorder_NoM,PT_Personalized Medicine_NoM,PT_Narrative Exposure Therapy_NoM,PT_Emdr Therapy_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Music Therapy_NoM,PT_Neuroprotective Agents_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Cognitive Behavioral Therapy_NoM
RMD_Histrionic Personality Disorder_NoM,PT_Social Skills Training_NoM,PT_Electroconvulsive Therapy_NoM,PT_Hypnotherapy_NoM,PT_Naltrexone_NoM,PT_Neuroprotective Agents_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Transference Focused Psychotherapy_NoM
RMD_Hypergraphia_NoM,PT_Personalized Medicine_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Metaverse_NoM,PT_Antipsychotic Medications_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Dialectical Behavior Therapy_NoM
RMD_Hyperthymesia_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Hypnotherapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Electroconvulsive Therapy_NoM,PT_Personalized Medicine_NoM,PT_Fecal Microbiota Transplant_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM
RMD_Impulse Control Disorders_NoM,PT_Personalized Medicine_NoM,PT_Neuroprotective Agents_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Electroconvulsive Therapy_NoM,PT_Narrative Exposure Therapy_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Naltrexone_NoM
RMD_Intermetamorphosis Syndrome_NoM,PT_Resting State Fmri_NoM,PT_Electroencephalography_NoM,PT_Trauma Focused Cbt_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Digital Health Tools_NoM,PT_Anxiolytic Medications_NoM,PT_Brain Computer Interface_NoM,PT_Prolonged Exposure Therapy_NoM
RMD_Kleine Levin Syndrome_NoM,PT_Personalized Medicine_NoM,PT_Naltrexone_NoM,PT_Electroconvulsive Therapy_NoM,PT_Animal Assisted Therapy_NoM,PT_Mentalization Based Treatment_NoM,PT_Neuromodulation Techniques_NoM,PT_Antipsychotic Medications_NoM,PT_Blockchain For Data Protection_NoM
RMD_Kleptomania_NoM,PT_Social Skills Training_NoM,PT_Deep Brain Stimulation_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Transcranial Direct Current Stimulation_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Hypnotherapy_NoM,PT_Electroconvulsive Therapy_NoM,PT_Digital Phenotyping_NoM
RMD_Koro_NoM,PT_Trauma Focused Cbt_NoM,PT_Digital Health Tools_NoM,PT_Anxiolytic Medications_NoM,PT_Antidepressants_NoM,PT_Resting State Fmri_NoM,PT_Brain Computer Interface_NoM,PT_Focused Ultrasound Therapy_NoM,PT_Mood Stabilizers_NoM
RMD_Landau Kleffner Syndrome_NoM,PT_Metaverse_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Antidepressants_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Mood Stabilizers_NoM,PT_Brain Computer Interface_NoM,PT_Personalized Medicine_NoM
RMD_Narcissistic Personality Disorder_NoM,PT_Personalized Medicine_NoM,PT_Narrative Exposure Therapy_NoM,PT_Metaverse_NoM,PT_Transference Focused Psychotherapy_NoM,PT_Antipsychotic Medications_NoM,PT_Emdr Therapy_NoM,PT_Music Therapy_NoM,PT_Mindfulness Based Stress Reduction_NoM
RMD_Olfactory Reference Syndrome_NoM,PT_Personalized Medicine_NoM,PT_Naltrexone_NoM,PT_Electroconvulsive Therapy_NoM,PT_Mentalization Based Treatment_NoM,PT_Animal Assisted Therapy_NoM,PT_Hypnotherapy_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Antipsychotic Medications_NoM
RMD_Othello Syndrome_NoM,PT_Personalized Medicine_NoM,PT_Animal Assisted Therapy_NoM,PT_Naltrexone_NoM,PT_Mentalization Based Treatment_NoM,PT_Electroconvulsive Therapy_NoM,PT_Neuroprotective Agents_NoM,PT_Antipsychotic Medications_NoM,PT_Closed Loop Neurostimulation_NoM
RMD_Palilalia_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Dialectical Behavior Therapy_NoM,PT_Personalized Medicine_NoM,PT_Emdr Therapy_NoM,PT_Brain Computer Interface_NoM,PT_Metaverse_NoM,PT_Ketamine Therapy_NoM
RMD_Postpartum Psychosis_NoM,PT_Electroencephalography_NoM,PT_Digital Health Tools_NoM,PT_Antipsychotic Medications_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Metaverse_NoM,PT_Mood Stabilizers_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Neuromodulation Techniques_NoM
RMD_Pyromania_NoM,PT_Anxiolytic Medications_NoM,PT_Schema Therapy_NoM,PT_Resting State Fmri_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Digital Therapeutics_NoM,PT_Deep Brain Stimulation_NoM,PT_Digital Phenotyping_NoM,PT_Neuroplasticity Techniques_NoM
RMD_Reactive Attachment Disorder_NoM,PT_Social Skills Training_NoM,PT_Hypnotherapy_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Cbt For Insomnia_NoM,PT_Electroconvulsive Therapy_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Naltrexone_NoM,PT_Animal Assisted Therapy_NoM
RMD_Reduplicative Paramnesia_NoM,PT_Interpersonal Psychotherapy_NoM,PT_Neuromodulation Techniques_NoM,PT_Personalized Medicine_NoM,PT_Blockchain For Data Protection_NoM,PT_Traditional And Alternative Medicine Approaches_NoM,PT_Antipsychotic Medications_NoM,PT_Animal Assisted Therapy_NoM,PT_Naltrexone_NoM
RMD_Rumination Disorder_NoM,PT_Social Skills Training_NoM,PT_Machine Learning Neuroimaging_NoM,PT_Immunotherapy For Neuropsychiatric Disorders_NoM,PT_Lithium Therapy_NoM,PT_Deep Brain Stimulation_NoM,PT_Cbt For Insomnia_NoM,PT_Hypnotherapy_NoM,PT_Speech Language Therapy_NoM
RMD_Savant Syndrome_NoM,PT_Personalized Medicine_NoM,PT_Electroconvulsive Therapy_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Naltrexone_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Neuroprotective Agents_NoM,PT_Hypnotherapy_NoM,PT_Mentalization Based Treatment_NoM
RMD_Schizoaffective Disorder_NoM,PT_Personalized Medicine_NoM,PT_Neuroprotective Agents_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Electroconvulsive Therapy_NoM,PT_Closed Loop Neurostimulation_NoM,PT_Narrative Exposure Therapy_NoM,PT_Naltrexone_NoM,PT_Music Therapy_NoM
RMD_Schizotypal Personality Disorder_NoM,PT_Electroconvulsive Therapy_NoM,PT_Naltrexone_NoM,PT_Neuroprotective Agents_NoM,PT_Mentalization Based Treatment_NoM,PT_Animal Assisted Therapy_NoM,PT_Hypnotherapy_NoM,PT_Personalized Medicine_NoM,PT_Closed Loop Neurostimulation_NoM
RMD_Selective Mutism_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Metaverse_NoM,PT_Antidepressants_NoM,PT_Motivational Interviewing_NoM,PT_Mood Stabilizers_NoM,PT_Stimulant And Wake Promoting Agents_NoM,PT_Personalized Medicine_NoM
RMD_Stendhal Syndrome_NoM,PT_Metaverse_NoM,PT_Transcranial Magnetic Stimulation_NoM,PT_Cognitive Behavioral Therapy_NoM,PT_Antidepressants_NoM,PT_Mood Stabilizers_NoM,PT_Mindfulness Based Stress Reduction_NoM,PT_Selective Serotonin Reuptake Inhibitors_NoM,PT_Emdr Therapy_NoM
RMD_Wendigo Psychosis_NoM,PT_Anxiolytic Medications_NoM,PT_Neuroplasticity Techniques_NoM,PT_Digital Health Tools_NoM,PT_Resting State Fmri_NoM,PT_Antidepressants_NoM,PT_Vocal And Speech Biomarkers_NoM,PT_Virtual Reality Exposure Therapy_NoM,PT_Trauma Focused Cbt_NoM
