rank,rmd_name,pt_name,brgi_score,brgi_norm,cisn_spillover_value,cisn_spillover_norm,final_priority_score,priority_label,interpretation
31,RMD Antisocial Personality Disorder,Narrative Exposure Therapy,0.3991374376972446,0.5895246435426553,3.9825314317890848,0.6467275275829323,0.7801555511264308,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value.
32,RMD Anorexia Nervosa,Augmentative Communication Devices,0.5097923033637496,0.7529615053280642,0.3688386220147261,0.05387313811320252,0.773243704913296,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
33,RMD Dissociative Amnesia,Reality Testing Techniques,0.5142579860014942,0.7595573034581006,0.0597839096183332,0.0031703107076967605,0.7607613197842318,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
34,RMD Ekbom Syndrome,Vocal And Speech Biomarkers,0.5043903847813893,0.7449828898789969,0.2950700148145193,0.0417708248049383,0.760542164766903,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
35,RMD Kleptomania,Immunotherapy For Neuropsychiatric Disorders,0.4237851999936997,0.6259293049689871,2.6362894314366665,0.4258660650262198,0.7592103300148568,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value.
36,RMD Narcissistic Personality Disorder,Stem Cell Therapy For Neurological Disorders,0.501403415789439,0.7405711467951819,0.3465091663524839,0.05020981737713348,0.7591631178128622,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
37,RMD Reactive Attachment Disorder,Transcranial Direct Current Stimulation,0.4426747805827784,0.6538291515173176,1.875861089052281,0.30111188574446646,0.7522670159013596,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
38,RMD Antisocial Personality Disorder,Speech Language Therapy,0.4956134524415643,0.7320193905418133,0.3605031806379515,0.05250564417596965,0.7512369653666625,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
39,RMD Ekbom Syndrome,Secure Data Storage For Patient Records,0.4921035016855892,0.7268352051639485,0.4303117256838472,0.06395827851196315,0.7500787694060363,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
40,RMD Ganser Syndrome,Psilocybin Assisted Therapy,0.4880718353893547,0.7208804477002465,0.462012221803312,0.06915899126263171,0.7458081299921983,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
41,RMD Ekbom Syndrome,Memory Retrieval Techniques,0.5011099897818672,0.7401377575758744,0.122946207338242,0.013532576518160047,0.7451457429950619,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
42,RMD Factitious Disorder,Speech Language Therapy,0.4895840797432103,0.723114027488701,0.3605031806379515,0.05250564417596965,0.742097811401688,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
43,RMD Postpartum Psychosis,Mood Stabilizers,0.3817017089122611,0.5637721311845675,3.872536770533319,0.6286820485739436,0.7409888403655734,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value.
44,RMD Postpartum Psychosis,Neuromodulation Techniques,0.453981189926174,0.6705286798210707,0.8830238501161648,0.13822922080399064,0.7168720082902682,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
45,RMD Narcissistic Personality Disorder,Traditional And Alternative Medicine Approaches,0.4423016962249229,0.6532781071844556,1.0527469474517626,0.16607361393493034,0.7075242352668022,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
46,RMD Ganser Syndrome,Transcranial Direct Current Stimulation,0.4158712787377059,0.6142404700794791,1.875861089052281,0.30111188574446646,0.7067180232025788,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
47,RMD Postpartum Psychosis,Antipsychotic Medications,0.4130513804006715,0.6100754897870825,1.9412340318524757,0.3118368250605089,0.7051974916783018,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
48,RMD Othello Syndrome,Sleep Pattern Monitoring And Manipulation,0.4629881168189255,0.6838318803339017,0.404260694077898,0.0596844043198826,0.7042389295502389,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
49,RMD Hyperthymesia,Narrative Exposure Therapy,0.3566136193205434,0.526717107834585,3.9825314317890848,0.6467275275829323,0.697038334277332,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
50,RMD Postpartum Psychosis,Digital Health Tools,0.4471611907097964,0.6604555640788037,0.5873764693512619,0.08972597034849726,0.690085572258321,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
51,RMD Factitious Disorder,Electroconvulsive Therapy,0.3101473520307881,0.45808658843557787,6.135873325076947,1.0,0.6871298826533668,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
52,RMD Kleptomania,Stimulant And Wake Promoting Agents,0.3500808807114882,0.5170682750363401,3.964868063529896,0.6438297147481069,0.6835202350473114,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
53,RMD Rumination Disorder,Meditation And Relaxation Techniques,0.4485175257506333,0.662458866340017,0.4115339767479187,0.06087764286664362,0.6826233334794616,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
54,RMD Reactive Attachment Disorder,Hypnotherapy,0.3546846233054093,0.5238679872540202,3.640910593831803,0.5906819741896023,0.6785876757169892,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
55,RMD Kleptomania,Social Skills Training,0.3896135125567667,0.5754578383690802,2.086624178087172,0.33568920845838485,0.672045331500725,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
56,RMD Ganser Syndrome,Immunotherapy For Neuropsychiatric Disorders,0.3747666882970751,0.5535291292258547,2.6362894314366665,0.4258660650262198,0.6713937652962572,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value.
57,RMD Diogenes Syndrome,Focused Ultrasound Therapy,0.4206814780650496,0.6213451181931257,1.0198302756773785,0.16067337811649163,0.6712619277512657,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
58,RMD Othello Syndrome,Blockchain For Data Protection,0.4281240735559736,0.632337806524074,0.768415998841788,0.11942691212077115,0.6700968823492699,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
59,RMD Impulse Control Disorders,Blockchain For Data Protection,0.4234152085485898,0.6253828288577744,0.768415998841788,0.11942691212077115,0.6627265989296928,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
60,RMD Body Integrity Dysphoria,Focused Ultrasound Therapy,0.4147590159698784,0.6125976617387927,1.0198302756773785,0.16067337811649163,0.6618117296077105,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
61,RMD Ganser Syndrome,Deep Brain Stimulation,0.4183336265810554,0.6178773495037784,0.9052952632683952,0.14188301921521146,0.6617105014299227,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
62,RMD Diogenes Syndrome,Anticonvulsant Therapy,0.4270789996861489,0.6307942359581591,0.5778276442261366,0.0881594113774643,0.6585994602293433,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
63,RMD Diogenes Syndrome,Meditation And Relaxation Techniques,0.4314107124949268,0.6371921611045869,0.4115339767479187,0.06087764286664362,0.6565875395151618,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
64,RMD Antisocial Personality Disorder,Music Therapy,0.3931475756240846,0.5806776375491264,1.4332086041076302,0.22849130548947075,0.6470175332851972,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
65,RMD Schizotypal Personality Disorder,Electroconvulsive Therapy,0.2896602398148933,0.42782719308551065,6.135873325076947,1.0,0.641740789628266,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
66,RMD Reactive Attachment Disorder,Stimulant And Wake Promoting Agents,0.327865870859936,0.4842567807310459,3.964868063529896,0.6438297147481069,0.6401462332324989,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
67,RMD Landau Kleffner Syndrome,Anticonvulsant Therapy,0.4132255375285685,0.610332719275091,0.5778276442261366,0.0881594113774643,0.6372360059129406,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
68,RMD Hallucinogen Persisting Perception Disorder,Personalized Medicine,0.3721222963341633,0.5496233712535717,1.8916286276174703,0.30369867298443926,0.6330833154990435,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
69,RMD Chronic Traumatic Encephalopathy,Neuroprotective Agents,0.3372491886318391,0.4981159092974936,3.303208599895008,0.5352793376133599,0.6314314862892131,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
70,RMD Narcissistic Personality Disorder,Neuromodulation Techniques,0.3976796712259341,0.5873715274021954,0.8830238501161648,0.13822922080399064,0.6279674816798231,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
71,RMD Kleine Levin Syndrome,Neurobiological Assessments For Mental Disorders,0.4103397036135808,0.6060703523573906,0.4782712769466662,0.07182641561710246,0.6278362828682034,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
72,RMD Histrionic Personality Disorder,Lithium Therapy,0.4089983402725363,0.6040891632460593,0.4869383049549332,0.07324830891817666,0.6262134180678445,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
73,RMD Diogenes Syndrome,Stem Cell Therapy For Neurological Disorders,0.4122623268123856,0.6089100603098228,0.3465091663524839,0.05020981737713348,0.6241966917734506,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
74,RMD Erotomania,Transcranial Direct Current Stimulation,0.3621600116285832,0.5349091104871276,1.875861089052281,0.30111188574446646,0.6154428559674647,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
75,RMD Kleptomania,Acceptance And Commitment Therapy,0.4012756251893177,0.5926827392260974,0.4693880824986075,0.07036905853163022,0.6135360024097415,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
76,RMD Impulse Control Disorders,Neurobiological Assessments For Mental Disorders,0.3997864613867416,0.5904832493337054,0.4782712769466662,0.07182641561710246,0.6116893969744953,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
77,RMD Brief Psychotic Disorder,Sleep Pattern Monitoring And Manipulation,0.3970496061308211,0.5864409233908351,0.404260694077898,0.0596844043198826,0.6039416119815271,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
78,RMD Dissociative Fugue,Transcranial Direct Current Stimulation,0.3532270814402704,0.521715202856115,1.875861089052281,0.30111188574446646,0.6002625271328957,Watch,Lower gap urgency and lower spillover value.
79,RMD Schizotypal Personality Disorder,Neuroprotective Agents,0.3190333684079787,0.471211204526467,3.303208599895008,0.5352793376133599,0.5973260152439274,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
80,RMD Chronic Traumatic Encephalopathy,Emdr Therapy,0.3351761826365428,0.49505408646401183,2.5514555840953275,0.4119484130786382,0.5970224591174841,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
81,RMD Reactive Attachment Disorder,Motivational Interviewing,0.3407189279226594,0.5032407024775268,2.215112731872707,0.3567687542632559,0.5930109817362634,Watch,Lower gap urgency and lower spillover value.
82,RMD Dissociative Amnesia,Focused Ultrasound Therapy,0.3687605302252785,0.5446580540975364,1.0198302756773785,0.16067337811649163,0.5884140788326394,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
83,RMD Ekbom Syndrome,Neurofeedback Systems,0.3856906094740345,0.5696637238033243,0.4269333375822717,0.06340402768855782,0.5877232110619208,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
84,RMD Ganser Syndrome,Social Skills Training,0.340595000860142,0.5030576626259475,2.086624178087172,0.33568920845838485,0.5874931769138623,Watch,Lower gap urgency and lower spillover value.
85,RMD Brief Psychotic Disorder,Cognitive Assistive Technologies,0.3852611984403649,0.5690294851610714,0.231006110901656,0.031260643491635265,0.5779235990969959,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
86,RMD Hallucinogen Persisting Perception Disorder,Virtual Reality Exposure Therapy,0.3789406445596689,0.5596940484879128,0.4055043383512456,0.05988843382797991,0.576453648481304,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
87,RMD Factitious Disorder,Naltrexone,0.2797759880022639,0.41322818663764616,4.809093970738756,0.7823315357770199,0.5748689075769375,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
88,RMD Anorexia Nervosa,Electroconvulsive Therapy,0.2556740767045581,0.37762974528759086,6.135873325076947,1.0,0.5664446179313862,Platform Opportunity,Broad cross-RMD value but lower immediate gap urgency.
89,RMD Body Integrity Dysphoria,Trauma Focused Cbt,0.351777960001938,0.5195748554000817,1.1064749925759565,0.17488811728821757,0.5650085895256908,Watch,Lower gap urgency and lower spillover value.
90,RMD Diogenes Syndrome,Psilocybin Assisted Therapy,0.3687646205950592,0.5446640955598478,0.462012221803312,0.06915899126263171,0.5634983052727942,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
91,RMD Narcissistic Personality Disorder,Brain Computer Interface,0.3501572036160577,0.5171810037078726,1.1310437727795437,0.17891881661833667,0.5634477102883206,Watch,Lower gap urgency and lower spillover value.
92,RMD Chronic Traumatic Encephalopathy,Virtual Reality Exposure Therapy,0.3697701915817226,0.5461493205011354,0.4055043383512456,0.05988843382797991,0.5625033342216496,Targeted Priority,Large forecasted gap but mostly disorder-specific value.
93,RMD Schizotypal Personality Disorder,Mentalization Based Treatment,0.330394762211157,0.4879919446910788,1.7953066763424803,0.28789630830606666,0.5582374843709088,Watch,Lower gap urgency and lower spillover value.
